time_utc,SAT-1_vx_mps,SAT-1_vy_mps,SAT-1_vz_mps,SAT-2_vx_mps,SAT-2_vy_mps,SAT-2_vz_mps,SAT-3_vx_mps,SAT-3_vy_mps,SAT-3_vz_mps
2026-03-21T09:30:30Z,-3353.31076,-2075.13275,6496.45315,-3358.85109,-2076.55356,6493.13616,-3358.60959,-2077.40722,6499.68821
2026-03-21T09:30:31Z,-3356.81927,-2076.03242,6494.35207,-3362.35799,-2077.45224,6491.03196,-3362.11994,-2078.30707,6497.58399
2026-03-21T09:30:32Z,-3363.83423,-2077.83051,6490.14596,-3369.36973,-2079.24834,6486.81963,-3369.13858,-2080.10552,6493.3716
2026-03-21T09:30:33Z,-3370.84512,-2079.62608,6485.93197,-3376.37738,-2081.04191,6482.59942,-3376.15312,-2081.90144,6489.15132
2026-03-21T09:30:34Z,-3377.85191,-2081.41912,6481.71011,-3383.38094,-2082.83295,6478.37135,-3383.16357,-2083.69483,6484.92317
2026-03-21T09:30:35Z,-3384.85459,-2083.20963,6477.48037,-3390.38038,-2084.62147,6474.1354,-3390.16991,-2085.48569,6480.68714
2026-03-21T09:30:36Z,-3391.85317,-2084.99761,6473.24277,-3397.37571,-2086.40745,6469.89159,-3397.17214,-2087.27402,6476.44324
2026-03-21T09:30:37Z,-3398.84763,-2086.78306,6468.99731,-3404.36691,-2088.1909,6465.63993,-3404.17024,-2089.05982,6472.19147
2026-03-21T09:30:38Z,-3405.83796,-2088.56598,6464.74399,-3411.35397,-2089.97182,6461.38041,-3411.1642,-2090.84307,6467.93185
2026-03-21T09:30:39Z,-3412.82416,-2090.34636,6460.48283,-3418.3369,-2091.75019,6457.11305,-3418.15402,-2092.62379,6463.66437
2026-03-21T09:30:40Z,-3419.80621,-2092.1242,6456.21381,-3425.31567,-2093.52603,6452.83785,-3425.1397,-2094.40197,6459.38905
2026-03-21T09:30:41Z,-3426.78411,-2093.8995,6451.93696,-3432.29028,-2095.29932,6448.55481,-3432.12121,-2096.17761,6455.10587
2026-03-21T09:30:42Z,-3433.75784,-2095.67226,6447.65227,-3439.26073,-2097.07007,6444.26394,-3439.09855,-2097.95069,6450.81487
2026-03-21T09:30:43Z,-3440.72741,-2097.44247,6443.35975,-3446.227,-2098.83828,6439.96524,-3446.07172,-2099.72124,6446.51602
2026-03-21T09:30:44Z,-3447.6928,-2099.21014,6439.05941,-3453.18908,-2100.60393,6435.65873,-3453.0407,-2101.48923,6442.20935
2026-03-21T09:30:45Z,-3454.654,-2100.97526,6434.75125,-3460.14697,-2102.36703,6431.3444,-3460.00549,-2103.25467,6437.89486
2026-03-21T09:30:46Z,-3461.61101,-2102.73782,6430.43528,-3467.10066,-2104.12758,6427.02226,-3466.96608,-2105.01755,6433.57254
2026-03-21T09:30:47Z,-3468.56381,-2104.49784,6426.11149,-3474.05014,-2105.88558,6422.69231,-3473.92246,-2106.77788,6429.24242
2026-03-21T09:30:48Z,-3475.5124,-2106.25529,6421.7799,-3480.9954,-2107.64102,6418.35457,-3480.87462,-2108.53565,6424.90449
2026-03-21T09:30:49Z,-3482.45677,-2108.01019,6417.44052,-3487.93643,-2109.3939,6414.00903,-3487.82255,-2110.29086,6420.55875
2026-03-21T09:30:50Z,-3489.39692,-2109.76253,6413.09334,-3494.87323,-2111.14421,6409.6557,-3494.76625,-2112.04351,6416.20522
2026-03-21T09:30:51Z,-3496.33282,-2111.51231,6408.73837,-3501.80578,-2112.89197,6405.29459,-3501.7057,-2113.79359,6411.8439
2026-03-21T09:30:52Z,-3503.26448,-2113.25952,6404.37562,-3508.73409,-2114.63715,6400.9257,-3508.64091,-2115.54111,6407.47479
2026-03-21T09:30:53Z,-3510.19188,-2115.00417,6400.0051,-3515.65813,-2116.37977,6396.54904,-3515.57185,-2117.28606,6403.0979
2026-03-21T09:30:54Z,-3517.11503,-2116.74625,6395.6268,-3522.5779,-2118.11982,6392.16461,-3522.49852,-2119.02843,6398.71324
2026-03-21T09:30:55Z,-3524.0339,-2118.48576,6391.24074,-3529.49339,-2119.8573,6387.77241,-3529.42091,-2120.76824,6394.3208
2026-03-21T09:30:56Z,-3530.94849,-2120.2227,6386.84691,-3536.4046,-2121.5922,6383.37246,-3536.33902,-2122.50546,6389.9206
2026-03-21T09:30:57Z,-3537.85879,-2121.95706,6382.44533,-3543.31151,-2123.32453,6378.96476,-3543.25283,-2124.24011,6385.51264
2026-03-21T09:30:58Z,-3544.7648,-2123.68884,6378.036,-3550.21412,-2125.05428,6374.54932,-3550.16235,-2125.97219,6381.09693
2026-03-21T09:30:59Z,-3551.66651,-2125.41805,6373.61892,-3557.11242,-2126.78145,6370.12613,-3557.06755,-2127.70167,6376.67346
2026-03-21T09:31:00Z,-3558.5639,-2127.14467,6369.1941,-3564.0064,-2128.50603,6365.6952,-3563.96843,-2129.42858,6372.24226
2026-03-21T09:31:01Z,-3565.45696,-2128.86871,6364.76155,-3570.89605,-2130.22803,6361.25655,-3570.86498,-2131.1529,6367.80331
2026-03-21T09:31:02Z,-3572.3457,-2130.59017,6360.32127,-3577.78136,-2131.94745,6356.81017,-3577.75719,-2132.87463,6363.35663
2026-03-21T09:31:03Z,-3579.23011,-2132.30904,6355.87327,-3584.66233,-2133.66427,6352.35607,-3584.64507,-2134.59377,6358.90223
2026-03-21T09:31:04Z,-3586.11016,-2134.02532,6351.41755,-3591.53895,-2135.37851,6347.89426,-3591.52859,-2136.31032,6354.4401
2026-03-21T09:31:05Z,-3592.98586,-2135.73901,6346.95411,-3598.41121,-2137.09015,6343.42474,-3598.40774,-2138.02428,6349.97026
2026-03-21T09:31:06Z,-3599.8572,-2137.4501,6342.48297,-3605.27909,-2138.79919,6338.94752,-3605.28253,-2139.73563,6345.49271
2026-03-21T09:31:07Z,-3606.72416,-2139.1586,6338.00412,-3612.1426,-2140.50564,6334.4626,-3612.15294,-2141.44439,6341.00745
2026-03-21T09:31:08Z,-3613.58675,-2140.8645,6333.51758,-3619.00172,-2142.20949,6329.96998,-3619.01896,-2143.15055,6336.51449
2026-03-21T09:31:09Z,-3620.44495,-2142.5678,6329.02335,-3625.85645,-2143.91074,6325.46968,-3625.88059,-2144.85411,6332.01383
2026-03-21T09:31:10Z,-3627.29875,-2144.2685,6324.52143,-3632.70678,-2145.60938,6320.9617,-3632.73782,-2146.55506,6327.50549
2026-03-21T09:31:11Z,-3634.14814,-2145.9666,6320.01184,-3639.55269,-2147.30542,6316.44604,-3639.59063,-2148.25341,6322.98946
2026-03-21T09:31:12Z,-3640.99313,-2147.66209,6315.49456,-3646.39418,-2148.99885,6311.92272,-3646.43902,-2149.94915,6318.46576
2026-03-21T09:31:13Z,-3647.83369,-2149.35497,6310.96962,-3653.23125,-2150.68967,6307.39172,-3653.28299,-2151.64227,6313.93438
2026-03-21T09:31:14Z,-3654.66982,-2151.04524,6306.43702,-3660.06388,-2152.37788,6302.85307,-3660.12252,-2153.33279,6309.39533
2026-03-21T09:31:15Z,-3661.50151,-2152.7329,6301.89675,-3666.89206,-2154.06348,6298.30677,-3666.95761,-2155.02069,6304.84862
2026-03-21T09:31:16Z,-3668.32876,-2154.41795,6297.34884,-3673.71579,-2155.74646,6293.75281,-3673.78824,-2156.70597,6300.29426
2026-03-21T09:31:17Z,-3675.15155,-2156.10038,6292.79327,-3680.53506,-2157.42682,6289.19122,-3680.61441,-2158.38863,6295.73224
2026-03-21T09:31:18Z,-3681.96988,-2157.78019,6288.23007,-3687.34986,-2159.10456,6284.62198,-3687.43611,-2160.06867,6291.16258
2026-03-21T09:31:19Z,-3688.78374,-2159.45738,6283.65923,-3694.16018,-2160.77968,6280.04512,-3694.25333,-2161.74609,6286.58528
2026-03-21T09:31:20Z,-3695.59312,-2161.13195,6279.08076,-3700.96602,-2162.45218,6275.46062,-3701.06607,-2163.42088,6282.00035
2026-03-21T09:31:21Z,-3702.39801,-2162.80389,6274.49466,-3707.76736,-2164.12205,6270.86851,-3707.87431,-2165.09305,6277.40779
2026-03-21T09:31:22Z,-3709.19841,-2164.47321,6269.90094,-3714.5642,-2165.78929,6266.26878,-3714.67805,-2166.76259,6272.8076
2026-03-21T09:31:23Z,-3715.9943,-2166.1399,6265.29961,-3721.35653,-2167.45391,6261.66145,-3721.47728,-2168.42949,6268.1998
2026-03-21T09:31:24Z,-3722.78568,-2167.80396,6260.69068,-3728.14434,-2169.11589,6257.04651,-3728.27199,-2170.09377,6263.58439
2026-03-21T09:31:25Z,-3729.57254,-2169.46538,6256.07414,-3734.92763,-2170.77524,6252.42397,-3735.06218,-2171.7554,6258.96137
2026-03-21T09:31:26Z,-3736.35487,-2171.12418,6251.45,-3741.70638,-2172.43195,6247.79384,-3741.84782,-2173.4144,6254.33075
2026-03-21T09:31:27Z,-3743.13266,-2172.78033,6246.81827,-3748.48058,-2174.08602,6243.15612,-3748.62893,-2175.07077,6249.69253
2026-03-21T09:31:28Z,-3749.90591,-2174.43385,6242.17895,-3755.25023,-2175.73745,6238.51082,-3755.40548,-2176.72449,6245.04672
2026-03-21T09:31:29Z,-3756.6746,-2176.08473,6237.53206,-3762.01532,-2177.38624,6233.85794,-3762.17747,-2178.37556,6240.39334
2026-03-21T09:31:30Z,-3763.43873,-2177.73296,6232.87759,-3768.77585,-2179.03239,6229.1975,-3768.94489,-2180.02399,6235.73237
2026-03-21T09:31:31Z,-3770.19829,-2179.37855,6228.21555,-3775.53179,-2180.67589,6224.52949,-3775.70774,-2181.66978,6231.06383
2026-03-21T09:31:32Z,-3776.95327,-2181.02149,6223.54595,-3782.28316,-2182.31674,6219.85392,-3782.466,-2183.31291,6226.38772
2026-03-21T09:31:33Z,-3783.70367,-2182.66179,6218.86879,-3789.02993,-2183.95494,6215.17079,-3789.21967,-2184.9534,6221.70406
2026-03-21T09:31:34Z,-3790.44947,-2184.29943,6214.18408,-3795.77209,-2185.59049,6210.48013,-3795.96873,-2186.59123,6217.01283
2026-03-21T09:31:35Z,-3797.19067,-2185.93442,6209.49182,-3802.50965,-2187.22339,6205.78191,-3802.71319,-2188.2264,6212.31406
2026-03-21T09:31:36Z,-3803.92726,-2187.56676,6204.79202,-3809.24259,-2188.85363,6201.07617,-3809.45303,-2189.85892,6207.60775
2026-03-21T09:31:37Z,-3810.65922,-2189.19644,6200.08469,-3815.97091,-2190.48121,6196.36289,-3816.18824,-2191.48878,6202.89389
2026-03-21T09:31:38Z,-3817.38657,-2190.82346,6195.36983,-3822.69459,-2192.10613,6191.64209,-3822.91882,-2193.11597,6198.17251
2026-03-21T09:31:39Z,-3824.10927,-2192.44782,6190.64745,-3829.41363,-2193.72839,6186.91377,-3829.64475,-2194.74051,6193.44359
2026-03-21T09:31:40Z,-3830.82733,-2194.06952,6185.91754,-3836.12802,-2195.34799,6182.17793,-3836.36604,-2196.36238,6188.70716
2026-03-21T09:31:41Z,-3837.54074,-2195.68856,6181.18013,-3842.83775,-2196.96492,6177.43459,-3843.08267,-2197.98158,6183.96321
2026-03-21T09:31:42Z,-3844.24949,-2197.30493,6176.43521,-3849.54281,-2198.57918,6172.68375,-3849.79463,-2199.59811,6179.21175
2026-03-21T09:31:43Z,-3850.95357,-2198.91863,6171.68279,-3856.2432,-2200.19077,6167.92541,-3856.50191,-2201.21197,6174.45279
2026-03-21T09:31:44Z,-3857.65297,-2200.52966,6166.92287,-3862.93891,-2201.79969,6163.15959,-3863.20451,-2202.82316,6169.68633
