time_utc,SAT-1_x_m,SAT-1_y_m,SAT-1_z_m,SAT-2_x_m,SAT-2_y_m,SAT-2_z_m,SAT-3_x_m,SAT-3_y_m,SAT-3_z_m
2026-03-21T09:30:30Z,5781781.28,1483819.28,3453939.17,5779134.4,1482181.09,3459068.53,5784813.17,1484117.56,3459108.18
2026-03-21T09:30:31Z,5778427.97,1481744.14,3460435.62,5775775.54,1480104.53,3465561.66,5781454.56,1482040.15,3465607.87
2026-03-21T09:30:32Z,5775067.64,1479667.21,3466927.87,5772409.68,1478026.18,3472050.59,5778088.93,1479960.95,3472103.35
2026-03-21T09:30:33Z,5771700.3,1477588.48,3473415.91,5769036.81,1475946.04,3478535.3,5774716.29,1477879.94,3478594.61
2026-03-21T09:30:34Z,5768325.95,1475507.96,3479899.74,5765656.93,1473864.1,3485015.79,5771336.63,1475797.14,3485081.65
2026-03-21T09:30:35Z,5764944.6,1473425.64,3486379.33,5762270.04,1471780.37,3491492.05,5767949.96,1473712.55,3491564.46
2026-03-21T09:30:36Z,5761556.25,1471341.54,3492854.7,5758876.16,1469694.86,3497964.06,5764556.29,1471626.17,3498043.02
2026-03-21T09:30:37Z,5758160.89,1469255.65,3499325.82,5755475.29,1467607.56,3504431.83,5761155.61,1469538,3504517.34
2026-03-21T09:30:38Z,5754758.55,1467167.97,3505792.69,5752067.43,1465518.47,3510895.34,5757747.95,1467448.05,3510987.41
2026-03-21T09:30:39Z,5751349.22,1465078.52,3512255.31,5748652.58,1463427.61,3517354.59,5754333.29,1465356.32,3517453.21
2026-03-21T09:30:40Z,5747932.9,1462987.28,3518713.66,5745230.76,1461334.97,3523809.57,5750911.64,1463262.8,3523914.74
2026-03-21T09:30:41Z,5744509.61,1460894.27,3525167.73,5741801.95,1459240.56,3530260.27,5747483.01,1461167.51,3530371.98
2026-03-21T09:30:42Z,5741079.33,1458799.48,3531617.53,5738366.18,1457144.38,3536706.68,5744047.4,1459070.45,3536824.95
2026-03-21T09:30:43Z,5737642.09,1456702.92,3538063.04,5734923.43,1455046.42,3543148.79,5740604.81,1456971.61,3543273.61
2026-03-21T09:30:44Z,5734197.88,1454604.6,3544504.25,5731473.72,1452946.7,3549586.61,5737155.25,1454871.01,3549717.98
2026-03-21T09:30:45Z,5730746.7,1452504.5,3550941.16,5728017.05,1450845.21,3556020.11,5733698.73,1452768.63,3556158.03
2026-03-21T09:30:46Z,5727288.57,1450402.65,3557373.75,5724553.43,1448741.97,3562449.3,5730235.24,1450664.5,3562593.77
2026-03-21T09:30:47Z,5723823.48,1448299.03,3563802.03,5721082.85,1446636.96,3568874.16,5726764.8,1448558.6,3569025.18
2026-03-21T09:30:48Z,5720351.44,1446193.65,3570225.98,5717605.33,1444530.19,3575294.68,5723287.4,1446450.94,3575452.25
2026-03-21T09:30:49Z,5716872.46,1444086.52,3576645.59,5714120.86,1442421.68,3581710.86,5719803.05,1444341.53,3581874.99
2026-03-21T09:30:50Z,5713386.53,1441977.63,3583060.86,5710629.46,1440311.41,3588122.7,5716311.75,1442230.36,3588293.37
2026-03-21T09:30:51Z,5709893.66,1439866.99,3589471.77,5707131.11,1438199.39,3594530.18,5712813.51,1440117.44,3594707.4
2026-03-21T09:30:52Z,5706393.86,1437754.6,3595878.33,5703625.84,1436085.62,3600933.29,5709308.34,1438002.77,3601117.06
2026-03-21T09:30:53Z,5702887.13,1435640.47,3602280.53,5700113.65,1433970.11,3607332.03,5705796.23,1435886.36,3607522.35
2026-03-21T09:30:54Z,5699373.48,1433524.6,3608678.34,5696594.53,1431852.86,3613726.39,5702277.2,1433768.2,3613923.25
2026-03-21T09:30:55Z,5695852.9,1431406.98,3615071.78,5693068.49,1429733.87,3620116.36,5698751.24,1431648.3,3620319.77
2026-03-21T09:30:56Z,5692325.41,1429287.63,3621460.83,5689535.54,1427613.15,3626501.93,5695218.35,1429526.66,3626711.9
2026-03-21T09:30:57Z,5688791.01,1427166.53,3627845.47,5685995.68,1425490.69,3632883.1,5691678.56,1427403.29,3633099.61
2026-03-21T09:30:58Z,5685249.69,1425043.71,3634225.72,5682448.92,1423366.5,3639259.86,5688131.85,1425278.18,3639482.92
2026-03-21T09:30:59Z,5681701.48,1422919.16,3640601.55,5678895.25,1421240.58,3645632.2,5684578.23,1423151.35,3645861.81
2026-03-21T09:31:00Z,5678146.36,1420792.87,3646972.95,5675334.69,1419112.94,3652000.11,5681017.71,1421022.78,3652236.27
2026-03-21T09:31:01Z,5674584.35,1418664.87,3653339.93,5671767.24,1416983.57,3658363.59,5677450.3,1418892.49,3658606.29
2026-03-21T09:31:02Z,5671015.45,1416535.14,3659702.48,5668192.9,1414852.48,3664722.63,5673875.98,1416760.47,3664971.88
2026-03-21T09:31:03Z,5667439.66,1414403.69,3666060.58,5664611.68,1412719.67,3671077.21,5670294.78,1414626.74,3671333.01
2026-03-21T09:31:04Z,5663856.99,1412270.52,3672414.22,5661023.58,1410585.15,3677427.34,5666706.69,1412491.29,3677689.68
2026-03-21T09:31:05Z,5660267.44,1410135.64,3678763.41,5657428.6,1408448.92,3683773,5663111.72,1410354.12,3684041.89
2026-03-21T09:31:06Z,5656671.02,1407999.04,3685108.13,5653826.75,1406310.97,3690114.19,5659509.88,1408215.24,3690389.62
2026-03-21T09:31:07Z,5653067.72,1405860.74,3691448.38,5650218.04,1404171.32,3696450.89,5655901.16,1406074.65,3696732.87
2026-03-21T09:31:08Z,5649457.57,1403720.72,3697784.14,5646602.47,1402029.96,3702783.11,5652285.57,1403932.35,3703071.63
2026-03-21T09:31:09Z,5645840.55,1401579.01,3704115.41,5642980.04,1399886.9,3709110.83,5648663.12,1401788.35,3709405.9
2026-03-21T09:31:10Z,5642216.68,1399435.59,3710442.19,5639350.76,1397742.14,3715434.05,5645033.81,1399642.64,3715735.66
2026-03-21T09:31:11Z,5638585.95,1397290.47,3716764.46,5635714.62,1395595.68,3721752.76,5641397.65,1397495.24,3722060.91
2026-03-21T09:31:12Z,5634948.38,1395143.66,3723082.21,5632071.65,1393447.53,3728066.94,5637754.63,1395346.13,3728381.64
2026-03-21T09:31:13Z,5631303.97,1392995.15,3729395.44,5628421.84,1391297.68,3734376.6,5634104.77,1393195.34,3734697.84
2026-03-21T09:31:14Z,5627652.71,1390844.95,3735704.15,5624765.19,1389146.15,3740681.73,5630448.06,1391042.85,3741009.51
2026-03-21T09:31:15Z,5623994.63,1388693.06,3742008.32,5621101.71,1386992.93,3746982.31,5626784.52,1388888.67,3747316.63
2026-03-21T09:31:16Z,5620329.71,1386539.48,3748307.94,5617431.4,1384838.02,3753278.34,5623114.15,1386732.81,3753619.21
2026-03-21T09:31:17Z,5616657.97,1384384.22,3754603.02,5613754.28,1382681.43,3759569.81,5619436.95,1384575.26,3759917.22
2026-03-21T09:31:18Z,5612979.41,1382227.28,3760893.53,5610070.33,1380523.17,3765856.72,5615752.92,1382416.03,3766210.67
2026-03-21T09:31:19Z,5609294.03,1380068.66,3767179.48,5606379.58,1378363.23,3772139.06,5612062.07,1380255.12,3772499.55
2026-03-21T09:31:20Z,5605601.84,1377908.36,3773460.85,5602682.01,1376201.61,3778416.81,5608364.41,1378092.54,3778783.84
2026-03-21T09:31:21Z,5601902.84,1375746.4,3779737.64,5598977.65,1374038.32,3784689.98,5604659.94,1375928.28,3785063.55
2026-03-21T09:31:22Z,5598197.04,1373582.76,3786009.84,5595266.48,1371873.36,3790958.55,5600948.66,1373762.35,3791338.66
2026-03-21T09:31:23Z,5594484.45,1371417.45,3792277.44,5591548.52,1369706.74,3797222.52,5597230.59,1371594.76,3797609.16
2026-03-21T09:31:24Z,5590765.06,1369250.48,3798540.44,5587823.77,1367538.46,3803481.87,5593505.71,1369425.49,3803875.06
2026-03-21T09:31:25Z,5587038.88,1367081.84,3804798.82,5584092.23,1365368.51,3809736.61,5589774.04,1367254.57,3810136.33
2026-03-21T09:31:26Z,5583305.91,1364911.55,3811052.58,5580353.91,1363196.91,3815986.72,5586035.59,1365081.98,3816392.98
2026-03-21T09:31:27Z,5579566.17,1362739.59,3817301.72,5576608.82,1361023.65,3822232.2,5582290.35,1362907.74,3822644.99
2026-03-21T09:31:28Z,5575819.65,1360565.99,3823546.22,5572856.95,1358848.73,3828473.03,5578538.33,1360731.84,3828892.37
2026-03-21T09:31:29Z,5572066.35,1358390.73,3829786.08,5569098.31,1356672.17,3834709.22,5574779.53,1358554.29,3835135.09
2026-03-21T09:31:30Z,5568306.3,1356213.82,3836021.29,5565332.92,1354493.96,3840940.75,5571013.97,1356375.09,3841373.15
2026-03-21T09:31:31Z,5564539.48,1354035.26,3842251.83,5561560.76,1352314.11,3847167.61,5567241.65,1354194.24,3847606.55
2026-03-21T09:31:32Z,5560765.9,1351855.06,3848477.72,5557781.85,1350132.61,3853389.81,5563462.56,1352011.75,3853835.28
2026-03-21T09:31:33Z,5556985.57,1349673.22,3854698.93,5553996.2,1347949.47,3859607.32,5559676.71,1349827.62,3860059.33
2026-03-21T09:31:34Z,5553198.49,1347489.73,3860915.45,5550203.79,1345764.7,3865820.15,5555884.12,1347641.84,3866278.69
2026-03-21T09:31:35Z,5549404.67,1345304.62,3867127.29,5546404.65,1343578.29,3872028.28,5552084.78,1345454.44,3872493.35
2026-03-21T09:31:36Z,5545604.11,1343117.87,3873334.44,5542598.78,1341390.25,3878231.71,5548278.69,1343265.39,3878703.32
2026-03-21T09:31:37Z,5541796.82,1340929.48,3879536.88,5538786.17,1339200.59,3884430.44,5544465.87,1341074.72,3884908.57
2026-03-21T09:31:38Z,5537982.79,1338739.47,3885734.61,5534966.83,1337009.29,3890624.44,5540646.32,1338882.41,3891109.1
2026-03-21T09:31:39Z,5534162.04,1336547.84,3891927.62,5531140.78,1334816.37,3896813.72,5536820.03,1336688.49,3897304.91
2026-03-21T09:31:40Z,5530334.57,1334354.58,3898115.9,5527308.01,1332621.83,3902998.27,5532987.03,1334492.93,3903495.99
2026-03-21T09:31:41Z,5526500.39,1332159.7,3904299.45,5523468.52,1330425.68,3909178.08,5529147.3,1332295.76,3909682.33
2026-03-21T09:31:42Z,5522659.49,1329963.2,3910478.26,5519622.33,1328227.9,3915353.14,5525300.86,1330096.97,3915863.92
2026-03-21T09:31:43Z,5518811.89,1327765.09,3916652.32,5515769.44,1326028.52,3921523.44,5521447.71,1327896.56,3922040.75
2026-03-21T09:31:44Z,5514957.59,1325565.36,3922821.63,5511909.84,1323827.52,3927688.99,5517587.86,1325694.55,3928212.82
2026-03-21T09:31:45Z,5511096.58,1323364.03,3928986.17,5508043.56,1321624.92,3933849.76,5513721.3,1323490.92,3934380.12
2026-03-21T09:31:46Z,5507228.89,1321161.09,3935145.94,5504170.58,1319420.71,3940005.76,5509848.05,1321285.68,3940542.65
2026-03-21T09:31:47Z,5503354.51,1318956.54,3941300.93,5500290.93,1317214.9,3946156.97,5505968.11,1319078.84,3946700.39
2026-03-21T09:31:48Z,5499473.44,1316750.39,3947451.14,5496404.59,1315007.49,3952303.39,5502081.48,1316870.4,3952853.33
2026-03-21T09:31:49Z,5495585.7,1314542.65,3953596.55,5492511.58,1312798.48,3958445.02,5498188.17,1314660.36,3959001.48
2026-03-21T09:31:50Z,5491691.28,1312333.3,3959737.16,5488611.9,1310587.88,3964581.83,5494288.19,1312448.72,3965144.82
2026-03-21T09:31:51Z,5487790.2,1310122.37,3965872.96,5484705.55,1308375.69,3970713.83,5490381.53,1310235.49,3971283.34
