time_iso,FSAT-DP1,FSAT-DP2,FSAT-LDR
2026-03-21T07:34:25Z,-2418.892946,-2456.143789,-2437.518186
2026-03-21T07:34:35Z,-2347.199571,-2384.444012,-2365.820997
2026-03-21T07:34:45Z,-2275.516750,-2312.745519,-2294.129728
2026-03-21T07:34:55Z,-2203.844687,-2241.048521,-2222.444586
2026-03-21T07:35:05Z,-2132.183593,-2169.353237,-2150.765787
2026-03-21T07:35:15Z,-2060.533663,-2097.659872,-2079.093533
2026-03-21T07:35:25Z,-1988.895093,-2025.968632,-2007.428023
2026-03-21T07:35:35Z,-1917.268081,-1954.279729,-1935.769464
2026-03-21T07:35:45Z,-1845.652810,-1882.593359,-1864.118047
2026-03-21T07:35:55Z,-1774.049473,-1810.909730,-1792.473971
2026-03-21T07:36:05Z,-1702.458249,-1739.229037,-1720.837423
2026-03-21T07:36:15Z,-1630.879311,-1667.551472,-1649.208590
2026-03-21T07:36:25Z,-1559.312841,-1595.877237,-1577.587660
2026-03-21T07:36:35Z,-1487.759005,-1524.206520,-1505.974813
2026-03-21T07:36:45Z,-1416.217968,-1452.539506,-1434.370223
2026-03-21T07:36:55Z,-1344.689897,-1380.876388,-1362.774072
2026-03-21T07:37:05Z,-1273.174949,-1309.217349,-1291.186529
2026-03-21T07:37:15Z,-1201.673275,-1237.562567,-1219.607760
2026-03-21T07:37:25Z,-1130.185033,-1165.912232,-1148.037938
2026-03-21T07:37:35Z,-1058.710369,-1094.266519,-1076.477226
2026-03-21T07:37:45Z,-987.249424,-1022.625607,-1004.925782
2026-03-21T07:37:55Z,-915.802350,-950.989682,-933.383777
2026-03-21T07:38:05Z,-844.369285,-879.358925,-861.851371
2026-03-21T07:38:15Z,-772.950368,-807.733522,-790.328725
2026-03-21T07:38:25Z,-701.545753,-736.113677,-718.816020
2026-03-21T07:38:35Z,-630.155591,-664.499602,-647.313436
2026-03-21T07:38:45Z,-558.780047,-592.891535,-575.821177
2026-03-21T07:38:55Z,-487.419329,-521.289778,-504.339496
2026-03-21T07:39:05Z,-416.073694,-449.694713,-432.868716
2026-03-21T07:39:15Z,-344.743530,-378.106909,-361.409317
2026-03-21T07:39:25Z,-273.429538,-306.527352,-289.962152
2026-03-21T07:39:35Z,-202.133258,-234.958046,-218.529018
2026-03-21T07:39:45Z,-130.859417,-163.404305,-147.115015
2026-03-21T07:39:55Z,-59.634920,-91.887586,-75.744067
2026-03-21T07:40:05Z,12.158855,-20.725924,-5.771769
2026-03-21T07:40:15Z,83.019672,51.544205,67.280009
2026-03-21T07:40:25Z,154.217739,122.972040,138.608433
2026-03-21T07:40:35Z,225.419273,194.480155,209.965810
2026-03-21T07:40:45Z,296.610729,265.998094,281.321557
2026-03-21T07:40:55Z,367.789023,337.515031,352.669796
2026-03-21T07:41:05Z,438.953052,409.027653,424.008566
2026-03-21T07:41:15Z,510.102305,480.534567,495.336997
2026-03-21T07:41:25Z,581.236517,552.035066,566.654639
2026-03-21T07:41:35Z,652.355535,623.528740,637.961227
2026-03-21T07:41:45Z,723.459252,695.015310,709.256578
2026-03-21T07:41:55Z,794.547607,766.494590,780.540573
2026-03-21T07:42:05Z,865.620562,837.966439,851.813124
2026-03-21T07:42:15Z,936.678085,909.430735,923.074160
2026-03-21T07:42:25Z,1007.720164,980.887390,994.323629
2026-03-21T07:42:35Z,1078.746800,1052.336329,1065.561496
2026-03-21T07:42:45Z,1149.757990,1123.777481,1136.787725
2026-03-21T07:42:55Z,1220.753750,1195.210791,1208.002297
2026-03-21T07:43:05Z,1291.734101,1266.636215,1279.205200
2026-03-21T07:43:15Z,1362.699062,1338.053707,1350.396421
2026-03-21T07:43:25Z,1433.648669,1409.463236,1421.575964
2026-03-21T07:43:35Z,1504.582954,1480.864769,1492.743827
2026-03-21T07:43:45Z,1575.501962,1552.258285,1563.900022
2026-03-21T07:43:55Z,1646.405743,1623.643769,1635.044567
2026-03-21T07:44:05Z,1717.294343,1695.021202,1706.177477
2026-03-21T07:44:15Z,1788.167824,1766.390579,1777.298779
2026-03-21T07:44:25Z,1859.026252,1837.751898,1848.408505
2026-03-21T07:44:35Z,1929.869687,1909.105156,1919.506685
2026-03-21T07:44:45Z,2000.698208,1980.450359,1990.593360
2026-03-21T07:44:55Z,2071.511893,2051.787521,2061.668577
2026-03-21T07:45:05Z,2142.310819,2123.116650,2132.732378
2026-03-21T07:45:15Z,2213.095076,2194.437768,2203.784820
2026-03-21T07:45:25Z,2283.864760,2265.750899,2274.825962
2026-03-21T07:45:35Z,2354.619959,2337.056063,2345.855860
2026-03-21T07:45:45Z,2425.360779,2408.353295,2416.874583
2026-03-21T07:45:55Z,2496.087326,2479.642632,2487.882203
