time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,523650.791,523666.77,528854.26
2026-03-21T07:38:41Z,523671.033,523687.032,528874.512
2026-03-21T07:38:42Z,523691.3,523707.319,528894.789
2026-03-21T07:38:43Z,523711.592,523727.63,528915.09
2026-03-21T07:38:44Z,523731.908,523747.966,528935.416
2026-03-21T07:38:45Z,523752.249,523768.325,528955.766
2026-03-21T07:38:46Z,523772.614,523788.71,528976.141
2026-03-21T07:38:47Z,523793.003,523809.118,528996.54
2026-03-21T07:38:48Z,523813.417,523829.55,529016.962
2026-03-21T07:38:49Z,523833.854,523850.007,529037.409
2026-03-21T07:38:50Z,523854.316,523870.487,529057.88
2026-03-21T07:38:51Z,523874.801,523890.991,529078.375
2026-03-21T07:38:52Z,523895.31,523911.519,529098.893
2026-03-21T07:38:53Z,523915.842,523932.07,529119.435
2026-03-21T07:38:54Z,523936.399,523952.644,529140
2026-03-21T07:38:55Z,523956.978,523973.242,529160.589
2026-03-21T07:38:56Z,523977.581,523993.864,529181.201
2026-03-21T07:38:57Z,523998.207,524014.508,529201.836
2026-03-21T07:38:58Z,524018.856,524035.176,529222.494
2026-03-21T07:38:59Z,524039.529,524055.866,529243.176
2026-03-21T07:39:00Z,524060.224,524076.579,529263.88
2026-03-21T07:39:01Z,524080.942,524097.315,529284.607
2026-03-21T07:39:02Z,524101.683,524118.074,529305.357
2026-03-21T07:39:03Z,524122.446,524138.855,529326.129
2026-03-21T07:39:04Z,524143.232,524159.659,529346.924
2026-03-21T07:39:05Z,524164.041,524180.485,529367.741
2026-03-21T07:39:06Z,524184.871,524201.333,529388.58
2026-03-21T07:39:07Z,524205.724,524222.204,529409.442
2026-03-21T07:39:08Z,524226.599,524243.096,529430.326
2026-03-21T07:39:09Z,524247.496,524264.01,529451.231
2026-03-21T07:39:10Z,524268.415,524284.947,529472.159
2026-03-21T07:39:11Z,524289.356,524305.905,529493.108
2026-03-21T07:39:12Z,524310.319,524326.884,529514.079
2026-03-21T07:39:13Z,524331.303,524347.885,529535.072
2026-03-21T07:39:14Z,524352.308,524368.908,529556.086
2026-03-21T07:39:15Z,524373.336,524389.952,529577.121
2026-03-21T07:39:16Z,524394.384,524411.017,529598.178
2026-03-21T07:39:17Z,524415.453,524432.103,529619.256
2026-03-21T07:39:18Z,524436.544,524453.21,529640.355
2026-03-21T07:39:19Z,524457.656,524474.338,529661.475
2026-03-21T07:39:20Z,524478.788,524495.487,529682.615
2026-03-21T07:39:21Z,524499.941,524516.657,529703.777
2026-03-21T07:39:22Z,524521.115,524537.847,529724.959
2026-03-21T07:39:23Z,524542.31,524559.058,529746.161
2026-03-21T07:39:24Z,524563.525,524580.289,529767.384
2026-03-21T07:39:25Z,524584.76,524601.54,529788.628
2026-03-21T07:39:26Z,524606.016,524622.812,529809.891
2026-03-21T07:39:27Z,524627.292,524644.104,529831.175
2026-03-21T07:39:28Z,524648.588,524665.415,529852.479
2026-03-21T07:39:29Z,524669.904,524686.747,529873.803
2026-03-21T07:39:30Z,524691.239,524708.098,529895.146
2026-03-21T07:39:31Z,524712.595,524729.469,529916.509
2026-03-21T07:39:32Z,524733.97,524750.86,529937.892
2026-03-21T07:39:33Z,524755.365,524772.27,529959.294
2026-03-21T07:39:34Z,524776.779,524793.699,529980.716
2026-03-21T07:39:35Z,524798.212,524815.148,530002.157
2026-03-21T07:39:36Z,524819.665,524836.615,530023.617
2026-03-21T07:39:37Z,524841.136,524858.102,530045.096
2026-03-21T07:39:38Z,524862.627,524879.608,530066.595
2026-03-21T07:39:39Z,524884.137,524901.132,530088.112
2026-03-21T07:39:40Z,524905.665,524922.676,530109.648
2026-03-21T07:39:41Z,524927.213,524944.237,530131.202
2026-03-21T07:39:42Z,524948.778,524965.818,530152.775
2026-03-21T07:39:43Z,524970.363,524987.417,530174.367
2026-03-21T07:39:44Z,524991.965,525009.034,530195.977
2026-03-21T07:39:45Z,525013.586,525030.669,530217.605
2026-03-21T07:39:46Z,525035.225,525052.323,530239.251
2026-03-21T07:39:47Z,525056.883,525073.994,530260.915
2026-03-21T07:39:48Z,525078.558,525095.683,530282.597
2026-03-21T07:39:49Z,525100.251,525117.39,530304.297
2026-03-21T07:39:50Z,525121.962,525139.115,530326.015
2026-03-21T07:39:51Z,525143.69,525160.857,530347.75
2026-03-21T07:39:52Z,525165.436,525182.617,530369.503
2026-03-21T07:39:53Z,525187.199,525204.394,530391.273
2026-03-21T07:39:54Z,525208.98,525226.188,530413.061
2026-03-21T07:39:55Z,525230.778,525248,530434.866
2026-03-21T07:39:56Z,525252.593,525269.828,530456.687
2026-03-21T07:39:57Z,525274.425,525291.674,530478.526
2026-03-21T07:39:58Z,525296.274,525313.536,530500.382
2026-03-21T07:39:59Z,525318.14,525335.415,530522.254
2026-03-21T07:40:00Z,525340.022,525357.311,530544.143
2026-03-21T07:40:01Z,525361.921,525379.223,530566.048
2026-03-21T07:40:02Z,525383.837,525401.151,530587.97
2026-03-21T07:40:03Z,525405.769,525423.096,530609.909
2026-03-21T07:40:04Z,525427.717,525445.057,530631.863
2026-03-21T07:40:05Z,525449.681,525467.034,530653.834
2026-03-21T07:40:06Z,525471.662,525489.027,530675.82
2026-03-21T07:40:07Z,525493.658,525511.035,530697.823
2026-03-21T07:40:08Z,525515.67,525533.06,530719.841
2026-03-21T07:40:09Z,525537.698,525555.1,530741.875
