time_utc,max_ground_distance_km,min_command_distance_km
2026-03-21T07:38:40Z,648.380165,391.910279
2026-03-21T07:38:41Z,641.258905,392.827014
2026-03-21T07:38:42Z,634.137785,393.869759
2026-03-21T07:38:43Z,627.016801,395.037525
2026-03-21T07:38:44Z,619.895964,396.32917
2026-03-21T07:38:45Z,612.775271,397.743496
2026-03-21T07:38:46Z,605.654724,399.279194
2026-03-21T07:38:47Z,598.534325,400.934862
2026-03-21T07:38:48Z,591.414076,402.709015
2026-03-21T07:38:49Z,584.293979,404.600088
2026-03-21T07:38:50Z,577.174035,406.606443
2026-03-21T07:38:51Z,570.054245,408.726393
2026-03-21T07:38:52Z,562.934617,410.958142
2026-03-21T07:38:53Z,555.815151,413.299888
2026-03-21T07:38:54Z,548.695848,415.749768
2026-03-21T07:38:55Z,541.576712,418.305874
2026-03-21T07:38:56Z,534.457745,420.966266
2026-03-21T07:38:57Z,527.338951,423.728974
2026-03-21T07:38:58Z,520.220329,426.59202
2026-03-21T07:38:59Z,513.10189,429.55336
2026-03-21T07:39:00Z,505.983634,432.610985
2026-03-21T07:39:01Z,498.865564,435.762864
2026-03-21T07:39:02Z,491.747684,439.006959
2026-03-21T07:39:03Z,484.629999,442.341237
2026-03-21T07:39:04Z,477.512513,445.763668
2026-03-21T07:39:05Z,470.395231,449.272232
2026-03-21T07:39:06Z,463.278153,452.864936
2026-03-21T07:39:07Z,456.161293,456.539758
2026-03-21T07:39:08Z,449.044652,460.294742
2026-03-21T07:39:09Z,441.928237,464.127935
2026-03-21T07:39:10Z,434.812054,468.037411
2026-03-21T07:39:11Z,427.696109,472.021269
2026-03-21T07:39:12Z,420.580409,476.077637
2026-03-21T07:39:13Z,413.464959,480.204685
2026-03-21T07:39:14Z,406.349775,484.400574
2026-03-21T07:39:15Z,399.23486,488.663538
2026-03-21T07:39:16Z,392.120225,492.991834
2026-03-21T07:39:17Z,385.00588,497.383749
2026-03-21T07:39:18Z,377.891835,501.837609
2026-03-21T07:39:19Z,370.778103,506.351774
2026-03-21T07:39:20Z,363.664695,510.924641
2026-03-21T07:39:21Z,356.551622,515.554655
2026-03-21T07:39:22Z,349.438905,520.240259
2026-03-21T07:39:23Z,342.326557,524.979974
2026-03-21T07:39:24Z,335.214595,529.772342
2026-03-21T07:39:25Z,328.103038,534.615941
2026-03-21T07:39:26Z,320.991905,539.509388
2026-03-21T07:39:27Z,313.88122,544.451334
2026-03-21T07:39:28Z,306.771001,549.440478
2026-03-21T07:39:29Z,299.661284,554.475516
2026-03-21T07:39:30Z,292.552094,559.555216
2026-03-21T07:39:31Z,285.443462,564.678369
2026-03-21T07:39:32Z,278.335423,569.843798
2026-03-21T07:39:33Z,271.228017,575.05036
2026-03-21T07:39:34Z,264.121287,580.296943
2026-03-21T07:39:35Z,257.015275,585.582479
2026-03-21T07:39:36Z,249.910043,590.905893
2026-03-21T07:39:37Z,242.805646,596.266179
2026-03-21T07:39:38Z,235.702151,601.662347
2026-03-21T07:39:39Z,228.599633,607.093436
2026-03-21T07:39:40Z,221.498175,612.558513
2026-03-21T07:39:41Z,214.397872,618.056671
2026-03-21T07:39:42Z,207.298834,623.587032
2026-03-21T07:39:43Z,200.201179,629.148755
2026-03-21T07:39:44Z,193.105058,634.740985
2026-03-21T07:39:45Z,186.010629,640.362933
2026-03-21T07:39:46Z,178.918083,646.013818
2026-03-21T07:39:47Z,171.827639,651.692884
2026-03-21T07:39:48Z,164.739556,657.399395
2026-03-21T07:39:49Z,157.654138,663.13264
2026-03-21T07:39:50Z,150.571742,668.891938
2026-03-21T07:39:51Z,143.492811,674.676595
2026-03-21T07:39:52Z,136.417861,680.485973
2026-03-21T07:39:53Z,129.347531,686.319439
2026-03-21T07:39:54Z,122.282603,692.176381
2026-03-21T07:39:55Z,115.224051,698.056203
2026-03-21T07:39:56Z,108.173104,703.958329
2026-03-21T07:39:57Z,101.13133,709.882199
2026-03-21T07:39:58Z,94.1007594,715.82728
2026-03-21T07:39:59Z,87.084093,721.793021
2026-03-21T07:40:00Z,80.0849508,727.778924
2026-03-21T07:40:01Z,73.1083357,733.784489
2026-03-21T07:40:02Z,66.161341,739.809235
2026-03-21T07:40:03Z,59.2543481,745.852694
2026-03-21T07:40:04Z,52.4031343,751.91441
2026-03-21T07:40:05Z,45.6327733,757.993952
2026-03-21T07:40:06Z,38.9853738,764.090871
2026-03-21T07:40:07Z,32.5363081,770.204761
2026-03-21T07:40:08Z,30.1700427,776.335217
2026-03-21T07:40:09Z,36.206737,782.481846
2026-03-21T07:40:10Z,42.5773019,788.644267
2026-03-21T07:40:11Z,49.1520443,794.822109
2026-03-21T07:40:12Z,55.8588721,801.015022
2026-03-21T07:40:13Z,62.6553501,807.222636
2026-03-21T07:40:14Z,69.5151539,813.44462
2026-03-21T07:40:15Z,76.4212028,819.680644
2026-03-21T07:40:16Z,83.3619771,825.930387
2026-03-21T07:40:17Z,90.3294473,832.193537
2026-03-21T07:40:18Z,97.3178562,838.469789
