window_index,start,end,duration_s
0,2026-03-15T07:51:10Z,2026-03-15T07:51:10Z,0.0
1,2026-03-16T07:49:10Z,2026-03-16T07:49:10Z,0.0
2,2026-03-17T07:47:10Z,2026-03-17T07:47:10Z,0.0
3,2026-03-18T07:45:10Z,2026-03-18T07:46:10Z,60.0
4,2026-03-19T07:43:10Z,2026-03-19T07:44:10Z,60.0
5,2026-03-20T07:41:10Z,2026-03-20T07:42:10Z,60.0
6,2026-03-21T07:40:10Z,2026-03-21T07:40:10Z,0.0
7,2026-03-22T07:38:10Z,2026-03-22T07:38:10Z,0.0
8,2026-03-23T07:36:10Z,2026-03-23T07:37:10Z,60.0
9,2026-03-24T07:34:10Z,2026-03-24T07:35:10Z,60.0
10,2026-03-25T07:32:10Z,2026-03-25T07:33:10Z,60.0
11,2026-03-26T07:31:10Z,2026-03-26T07:31:10Z,0.0
12,2026-03-27T07:29:10Z,2026-03-27T07:29:10Z,0.0
13,2026-03-28T07:27:10Z,2026-03-28T07:27:10Z,0.0
