time_utc,SAT-1_vx_mps,SAT-1_vy_mps,SAT-1_vz_mps,SAT-2_vx_mps,SAT-2_vy_mps,SAT-2_vz_mps,SAT-3_vx_mps,SAT-3_vy_mps,SAT-3_vz_mps
2026-03-14T07:40:10Z,1067.09178,-1183.48046,7408.21452,1060.68497,-1182.60886,7409.27371,1063.88838,-1183.04466,7408.74411
2026-03-14T07:41:10Z,823.348675,-1149.22155,7440.47812,816.918619,-1148.3174,7441.32643,820.133647,-1148.76948,7440.90228
2026-03-14T07:42:10Z,334.61837,-1078.31054,7488.96554,328.155679,-1077.34328,7489.39071,331.387024,-1077.82691,7489.17812
2026-03-14T07:43:10Z,-155.548412,-1002.77047,7505.30372,-162.015995,-1001.74426,7505.30394,-158.782203,-1002.25736,7505.30383
2026-03-14T07:44:10Z,-645.047443,-922.925621,7489.42254,-651.492153,-921.844867,7488.99779,-648.269798,-922.385244,7489.21017
2026-03-14T07:45:10Z,-1131.77736,-839.118767,7441.39017,-1138.17153,-837.988105,7440.54228,-1134.97445,-838.553436,7440.96622
2026-03-14T07:46:10Z,-1613.6487,-751.709677,7361.4128,-1619.96488,-750.533962,7360.14541,-1616.80679,-751.121819,7360.7791
2026-03-14T07:47:10Z,-2088.59283,-661.073587,7249.83376,-2094.80391,-659.857866,7248.15232,-2091.69837,-660.465726,7248.99304
2026-03-14T07:48:10Z,-2554.57089,-567.599587,7107.13206,-2560.6502,-566.34908,7105.04378,-2557.61055,-566.974333,7106.08792
2026-03-14T07:49:10Z,-3009.58248,-471.688951,6933.9203,-3015.50393,-470.409025,6931.43415,-3012.5432,-471.048988,6932.67722
2026-03-14T07:50:10Z,-3451.67429,-373.753411,6730.94205,-3457.41246,-372.44956,6728.06869,-3454.54338,-373.101485,6729.50537
2026-03-14T07:51:10Z,-3878.94848,-274.213392,6499.06867,-3884.47873,-272.891214,6495.82045,-3881.71361,-273.552303,6497.44456
2026-03-14T07:52:10Z,-4289.57081,-173.496207,6239.29557,-4294.8694,-172.161379,6235.68642,-4292.22011,-172.828793,6237.491
2026-03-14T07:53:10Z,-4681.77853,-72.0342248,5952.73792,-4686.82271,-70.6924758,5948.78335,-4684.30062,-71.3633503,5950.76064
2026-03-14T07:54:10Z,-5053.88793,29.736992,5640.62588,-5058.65606,31.0799018,5636.34286,-5056.272,30.4084469,5638.48437
2026-03-14T07:55:10Z,-5404.3016,131.380552,5304.29932,-5408.7732,132.718857,5299.70623,-5406.5374,132.049704,5302.00277
2026-03-14T07:56:10Z,-5731.51525,232.46011,4945.20203,-5735.67113,233.788066,4940.31859,-5733.59319,233.124088,4942.76031
2026-03-14T07:57:10Z,-6034.1242,332.541745,4564.87558,-6037.94651,333.853651,4559.72276,-6036.03535,333.197698,4562.29917
2026-03-14T07:58:10Z,-6310.82937,431.195819,4164.95267,-6314.30171,432.486043,4159.55258,-6312.56554,431.840931,4162.25263
2026-03-14T07:59:10Z,-6560.44291,527.99882,3747.15012,-6563.55037,529.261823,3741.52595,-6561.99664,528.630322,3744.33803
2026-03-14T08:00:10Z,-6781.89325,622.535186,3313.2615,-6784.62249,623.765546,3307.43739,-6783.25787,623.150366,3310.34945
2026-03-14T08:01:10Z,-6974.22974,714.399083,2865.14945,-6976.56905,715.591519,2859.15041,-6975.39939,714.995301,2862.14993
2026-03-14T08:02:10Z,-7136.6267,803.196151,2404.73765,-7138.56603,804.345543,2398.58943,-7137.59636,803.770847,2401.66354
2026-03-14T08:03:10Z,-7268.38698,888.545193,1934.00261,-7269.918,889.646608,1927.73159,-7269.15249,889.095901,1930.8671
2026-03-14T08:04:10Z,-7368.94494,970.079818,1454.96512,-7370.06109,971.128527,1448.59824,-7369.50301,970.604173,1451.78168
2026-03-14T08:05:10Z,-7437.86891,1047.45001,969.681642,-7438.56539,1048.44151,963.246227,-7438.21715,1047.94576,966.463935
2026-03-14T08:06:10Z,-7474.863,1120.32362,480.235438,-7475.13682,1121.25365,473.759113,-7474.99991,1120.78864,476.997276
2026-03-14T08:07:10Z,-7479.7684,1188.38781,-11.2723593,-7479.61838,1189.25239,-17.7617912,-7479.69339,1188.8201,-14.5170753
2026-03-14T08:08:10Z,-7452.56405,1251.3504,-502.731766,-7451.99085,1252.14582,-509.206447,-7452.27745,1251.74811,-505.969106
2026-03-14T08:09:10Z,-7393.36673,1308.9411,-992.033005,-7392.3728,1309.66393,-998.46514,-7392.86977,1309.30251,-995.249073
2026-03-14T08:10:10Z,-7302.43058,1360.91266,-1477.07557,-7301.02019,1361.55981,-1483.43754,-7301.72539,1361.23624,-1480.25655
2026-03-14T08:11:10Z,-7180.14597,1407.042,-1955.77722,-7178.32518,1407.61067,-1962.04172,-7179.23558,1407.32633,-1958.90947
2026-03-14T08:12:10Z,-7027.03786,1447.13106,-2426.08295,-7024.81448,1447.61884,-2432.2231,-7025.92617,1447.37495,-2429.15303
2026-03-14T08:13:10Z,-6843.76352,1481.00777,-2885.97381,-6841.14709,1481.41255,-2891.96323,-6842.4553,1481.21016,-2888.96852
2026-03-14T08:14:10Z,-6631.10972,1508.52669,-3333.47552,-6628.11147,1508.84673,-3339.28851,-6629.6106,1508.68671,-3336.38201
2026-03-14T08:15:10Z,-6389.98936,1529.56969,-3766.66702,-6386.62217,1529.80361,-3772.27862,-6388.30577,1529.68665,-3769.47282
2026-03-14T08:16:10Z,-6121.43754,1544.04643,-4183.68868,-6117.71587,1544.19324,-4189.0748,-6119.57671,1544.11983,-4186.38174
2026-03-14T08:17:10Z,-5826.60713,1551.89476,-4582.75026,-5822.54695,1551.95382,-4587.88778,-5824.57704,1551.92429,-4585.31902
2026-03-14T08:18:10Z,-5506.76379,1553.08099,-4962.13864,-5502.38253,1553.05205,-4967.00551,-5504.57316,1553.06652,-4964.57207
2026-03-14T08:19:10Z,-5163.28058,1547.60003,-5320.22516,-5158.59704,1547.48322,-5324.80048,-5160.93881,1547.54163,-5322.51282
2026-03-14T08:20:10Z,-4797.63202,1535.47541,-5655.47258,-4792.66632,1535.27123,-5659.73672,-4795.14917,1535.37332,-5657.60465
2026-03-14T08:21:10Z,-4411.38781,1516.75918,-5966.44175,-4406.16125,1516.4685,-5970.37639,-4408.77453,1516.61384,-5968.40907
2026-03-14T08:22:10Z,-4006.20603,1491.53169,-6251.79769,-4000.74107,1491.15576,-6255.38595,-4003.47355,1491.34372,-6253.59182
2026-03-14T08:23:10Z,-3583.82609,1459.90122,-6510.31542,-3578.14618,1459.44166,-6513.54188,-3580.98614,1459.67144,-6511.92865
2026-03-14T08:24:10Z,-3146.06122,1422.00358,-6740.88514,-3140.19074,1421.46236,-6743.73597,-3143.12598,1421.73297,-6742.31056
2026-03-14T08:25:10Z,-2694.79069,1378.00145,-6942.51706,-2688.75483,1377.38088,-6944.98,-2691.77276,1377.69117,-6943.74853
2026-03-14T08:26:10Z,-2231.95174,1328.08372,-7114.34558,-2225.77643,1327.38648,-7116.41007,-2228.86408,1327.7351,-7115.37783
2026-03-14T08:27:10Z,-1759.53129,1272.46469,-7255.63307,-1753.24303,1271.69377,-7257.29025,-1756.38716,1272.07923,-7256.46166
2026-03-14T08:28:10Z,-1279.55738,1211.38311,-7365.77299,-1273.18317,1210.54182,-7367.01575,-1276.37028,1210.96247,-7366.39437
2026-03-14T08:29:10Z,-794.090488,1145.10122,-7444.29254,-787.657692,1144.19317,-7445.11553,-790.87409,1144.64719,-7444.70403
2026-03-14T08:30:10Z,-305.214659,1073.90355,-7490.85463,-298.750892,1072.93263,-7491.25433,-301.982775,1073.41809,-7491.05448
2026-03-14T08:31:10Z,184.971419,998.09573,-7505.25938,191.438411,997.066121,-7505.23407,188.204915,997.580926,-7505.24672
2026-03-14T08:32:10Z,674.363436,918.003211,-7487.44496,680.805892,916.919327,-7486.99474,677.584664,917.461269,-7487.21985
2026-03-14T08:33:10Z,1160.86049,833.969813,-7437.48783,1167.25075,832.836308,-7436.61464,1164.05562,833.403061,-7437.05123
2026-03-14T08:34:10Z,1642.37411,746.356283,-7355.60246,1648.68475,745.178023,-7354.31004,1645.52943,745.767153,-7354.95625
2026-03-14T08:35:10Z,2116.83722,655.538735,-7242.14036,2123.04114,654.320778,-7240.43428,2119.93918,654.929757,-7241.28732
