time_utc,SAT-1_vx_mps,SAT-1_vy_mps,SAT-1_vz_mps,SAT-2_vx_mps,SAT-2_vy_mps,SAT-2_vz_mps,SAT-3_vx_mps,SAT-3_vy_mps,SAT-3_vz_mps
2026-03-21T07:38:40Z,-3935.53153,-265.100381,6498.08433,-3941.0928,-263.763867,6494.76734,-3938.31217,-264.432124,6496.42584
2026-03-21T07:38:41Z,-3939.05414,-264.253731,6495.98272,-3944.61353,-262.91709,6492.66262,-3941.83383,-263.58541,6494.32267
2026-03-21T07:38:42Z,-3946.09697,-262.56027,6491.77556,-3951.65257,-261.223377,6488.44923,-3948.87477,-261.891824,6490.1124
2026-03-21T07:38:43Z,-3953.13501,-260.86649,6487.56051,-3958.68682,-259.529347,6484.22797,-3955.91091,-260.197919,6485.89424
2026-03-21T07:38:44Z,-3960.16824,-259.172394,6483.33759,-3965.71626,-257.835002,6479.99883,-3962.94225,-258.503698,6481.66821
2026-03-21T07:38:45Z,-3967.19667,-257.477983,6479.10679,-3972.74089,-256.140344,6475.76182,-3969.96878,-256.809164,6477.4343
2026-03-21T07:38:46Z,-3974.22028,-255.783259,6474.86812,-3979.76069,-254.445375,6471.51694,-3976.99048,-255.114317,6473.19253
2026-03-21T07:38:47Z,-3981.23906,-254.088225,6470.6216,-3986.77565,-252.750097,6467.26421,-3984.00736,-253.419161,6468.9429
2026-03-21T07:38:48Z,-3988.25301,-252.392882,6466.36721,-3993.78578,-251.054512,6463.00363,-3991.0194,-251.723697,6464.68542
2026-03-21T07:38:49Z,-3995.26212,-250.697232,6462.10497,-4000.79106,-249.358622,6458.7352,-3998.02659,-250.027927,6460.42008
2026-03-21T07:38:50Z,-4002.26637,-249.001278,6457.83488,-4007.79147,-247.662429,6454.45892,-4005.02892,-248.331854,6456.1469
2026-03-21T07:38:51Z,-4009.26576,-247.305022,6453.55696,-4014.78703,-245.965936,6450.17481,-4012.0264,-246.635479,6451.86588
2026-03-21T07:38:52Z,-4016.26029,-245.608465,6449.27119,-4021.7777,-244.269144,6445.88286,-4019.019,-244.938805,6447.57703
2026-03-21T07:38:53Z,-4023.24994,-243.911611,6444.9776,-4028.76349,-242.572055,6441.58308,-4026.00672,-243.241833,6443.28034
2026-03-21T07:38:54Z,-4030.2347,-242.21446,6440.67617,-4035.74439,-240.874672,6437.27549,-4032.98955,-241.544566,6438.97583
2026-03-21T07:38:55Z,-4037.21457,-240.517014,6436.36693,-4042.72039,-239.176996,6432.96007,-4039.96748,-239.847005,6434.6635
2026-03-21T07:38:56Z,-4044.18953,-238.819277,6432.04987,-4049.69148,-237.479029,6428.63685,-4046.94051,-238.149153,6430.34336
2026-03-21T07:38:57Z,-4051.15959,-237.12125,6427.725,-4056.65766,-235.780775,6424.30582,-4053.90862,-236.451012,6426.01541
2026-03-21T07:38:58Z,-4058.12472,-235.422935,6423.39232,-4063.6189,-234.082234,6419.96698,-4060.87181,-234.752584,6421.67965
2026-03-21T07:38:59Z,-4065.08493,-233.724334,6419.05184,-4070.57521,-232.383408,6415.62035,-4067.83007,-233.053871,6417.3361
