time_utc,max_ground_distance_km,min_command_distance_km
2026-03-14T07:40:10Z,5433.65963,5428.16132
2026-03-14T07:41:10Z,5009.68557,5004.18847
2026-03-14T07:42:10Z,4585.71576,4580.22136
2026-03-14T07:43:10Z,4161.85689,4156.36706
2026-03-14T07:44:10Z,3738.23967,3732.75678
2026-03-14T07:45:10Z,3315.03333,3309.56058
2026-03-14T07:46:10Z,2892.47349,2887.01554
2026-03-14T07:47:10Z,2470.91903,2465.48326
2026-03-14T07:48:10Z,2050.97905,2045.57845
2026-03-14T07:49:10Z,1633.83341,1628.49416
2026-03-14T07:50:10Z,1222.19507,1216.98084
2026-03-14T07:51:10Z,824.047044,819.162926
2026-03-14T07:52:10Z,473.98381,468.561179
2026-03-14T07:53:10Z,362.198159,356.775685
2026-03-14T07:54:10Z,632.319354,627.535942
2026-03-14T07:55:10Z,1013.1061,1007.83536
2026-03-14T07:56:10Z,1417.73521,1412.33075
2026-03-14T07:57:10Z,1830.22128,1824.76912
2026-03-14T07:58:10Z,2246.04778,2240.57591
2026-03-14T07:59:10Z,2663.49687,2658.01652
2026-03-14T08:00:10Z,3081.78688,3076.30316
2026-03-14T08:01:10Z,3500.52058,3495.03596
2026-03-14T08:02:10Z,3919.48301,3913.99866
2026-03-14T08:03:10Z,4338.55522,4333.07163
2026-03-14T08:04:10Z,4757.6731,4752.19037
2026-03-14T08:05:10Z,5176.80587,5171.32386
2026-03-14T08:06:10Z,5595.94381,5590.46223
2026-03-14T08:07:10Z,6015.09087,6009.60935
2026-03-14T08:08:10Z,6434.25985,6428.77795
2026-03-14T08:09:10Z,6853.46905,6847.98632
2026-03-14T08:10:10Z,7272.73981,7267.25578
2026-03-14T08:11:10Z,7692.09464,7686.60886
2026-03-14T08:12:10Z,8111.55565,8106.06769
2026-03-14T08:13:10Z,8531.14324,8525.65271
2026-03-14T08:14:10Z,8950.87501,8945.38157
2026-03-14T08:15:10Z,9370.76472,9365.26807
2026-03-14T08:16:10Z,9790.82135,9785.32129
2026-03-14T08:17:10Z,10211.0483,10205.5447
2026-03-14T08:18:10Z,10631.4425,10625.9353
2026-03-14T08:19:10Z,11051.9938,11046.483
2026-03-14T08:20:10Z,11472.6838,11467.1696
2026-03-14T08:21:10Z,11893.4855,11887.968
2026-03-14T08:22:10Z,12314.3617,12308.8414
2026-03-14T08:23:10Z,12735.2644,12729.7418
2026-03-14T08:24:10Z,13156.1328,13150.6085
2026-03-14T08:25:10Z,13576.8916,13571.3665
2026-03-14T08:26:10Z,13997.4476,13991.9226
2026-03-14T08:27:10Z,14417.6854,14412.1619
2026-03-14T08:28:10Z,14837.4613,14831.9409
2026-03-14T08:29:10Z,15256.5921,15251.0769
2026-03-14T08:30:10Z,15674.8395,15669.3324
2026-03-14T08:31:10Z,16091.8827,16086.3878
2026-03-14T08:32:10Z,16507.2727,16501.7957
2026-03-14T08:33:10Z,16920.3494,16914.899
2026-03-14T08:34:10Z,17330.0858,17324.6767
2026-03-14T08:35:10Z,17734.7726,17729.4304
2026-03-14T08:36:10Z,18131.3243,18126.0981
2026-03-14T08:37:10Z,18513.5956,18508.5909
2026-03-14T08:38:10Z,18868.3288,18863.3215
2026-03-14T08:39:10Z,19162.106,19156.6407
2026-03-14T08:40:10Z,19315.9163,19310.7532
2026-03-14T08:41:10Z,19244.4596,19239.0062
2026-03-14T08:42:10Z,18993.5751,18988.2214
2026-03-14T08:43:10Z,18658.3688,18653.3969
2026-03-14T08:44:10Z,18287.229,18282.3504
2026-03-14T08:45:10Z,17899.178,17894.1166
2026-03-14T08:46:10Z,17501.9857,17496.819
2026-03-14T08:47:10Z,17099.5747,17094.3428
2026-03-14T08:48:10Z,16694.0129,16688.7382
2026-03-14T08:49:10Z,16286.4779,16281.174
2026-03-14T08:50:10Z,15877.6813,15872.3567
2026-03-14T08:51:10Z,15468.0726,15462.733
2026-03-14T08:52:10Z,15057.9455,15052.5946
2026-03-14T08:53:10Z,14647.4965,14642.1369
2026-03-14T08:54:10Z,14236.8594,14231.493
2026-03-14T08:55:10Z,13826.1271,13820.7552
2026-03-14T08:56:10Z,13415.3651,13409.9885
