time_utc,SAT-1_x_m,SAT-1_y_m,SAT-1_z_m,SAT-2_x_m,SAT-2_y_m,SAT-2_z_m,SAT-3_x_m,SAT-3_y_m,SAT-3_z_m
2026-03-14T07:40:10Z,6749658.45,-884944.148,-1346133.78,6750692.59,-885906.529,-1340302.45,6749368.56,-890511.014,-1343914.32
2026-03-14T07:41:10Z,6813683.96,-955952.975,-901640.904,6814333.69,-956863.061,-895746.026,6813201.86,-961493.693,-899389.678
2026-03-14T07:42:10Z,6848460.3,-1022850.73,-453276.401,6848722.83,-1023704.62,-447343.277,6847784.6,-1028363.35,-451006.051
2026-03-14T07:43:10Z,6853838.17,-1085350.24,-2965.03956,6853712.37,-1086144.25,2980.85963,6852968.31,-1090832.92,-688.302605
2026-03-14T07:44:10Z,6829794.49,-1143183.19,447360.046,6829280.91,-1143913.93,453293.196,6828730.73,-1148634.23,449630.408
2026-03-14T07:45:10Z,6776432.47,-1196101.31,895765.665,6775533.32,-1196765.64,901660.595,6775175.93,-1201519.15,898016.917
2026-03-14T07:46:10Z,6693981.2,-1243877.44,1340326.87,6692700.33,-1244472.5,1346158.27,6692533.8,-1249260.65,1342546.36
2026-03-14T07:47:10Z,6582794.63,-1286306.48,1779135.2,6581137.53,-1286829.71,1784878.04,6581159.11,-1291653.77,1781310.41
2026-03-14T07:48:10Z,6443350.06,-1323206.27,2210306.92,6441323.86,-1323655.44,2215936.55,6441529.99,-1328516.53,2212425.52
2026-03-14T07:49:10Z,6276246.12,-1354418.43,2631991.05,6273859.51,-1354791.6,2637483.3,6274245.85,-1359690.69,2634040.96
2026-03-14T07:50:10Z,6082200.16,-1379808.95,3042377.35,6079463.38,-1380104.53,3047708.65,6080024.81,-1385042.41,3044346.79
2026-03-14T07:51:10Z,5862045.21,-1399268.84,3439704.09,5858970.01,-1399485.55,3444851.54,5859700.64,-1404462.87,3441581.61
2026-03-14T07:52:10Z,5616726.35,-1412714.55,3822265.59,5613325.94,-1412851.47,3827207.1,5614219.18,-1417868.69,3824040.13
2026-03-14T07:53:10Z,5347296.71,-1420088.38,4188419.56,5343585.68,-1420144.92,4193133.91,5344634.23,-1425202.32,4190080.52
2026-03-14T07:54:10Z,5054912.92,-1421358.66,4536594.15,5050907.21,-1421334.57,4541061.1,5052103.1,-1426432.29,4538131.41
2026-03-14T07:55:10Z,4740830.16,-1416519.94,4865294.67,4736546.96,-1416415.33,4869495.06,4737881.59,-1421553.31,4866698.65
2026-03-14T07:56:10Z,4406396.73,-1405592.99,5173110.06,4401854.43,-1405408.31,5177025.85,4403318.61,-1410586.33,5174371.74
2026-03-14T07:57:10Z,4053048.33,-1388624.73,5458718.91,4048266.42,-1388360.76,5462333.29,4049850.41,-1393578.42,5459829.89
2026-03-14T07:58:10Z,3682301.83,-1365687.98,5720895.13,3677300.85,-1365345.87,5724192.58,3678994.37,-1370602.6,5721847.64
2026-03-14T07:59:10Z,3295748.8,-1336881.23,5958513.23,3290550.22,-1336462.43,5961479.6,3292342.54,-1341757.51,5959300.2
2026-03-14T08:00:10Z,2895048.68,-1302328.13,6170553.15,2889674.8,-1301834.45,6173175.69,2891554.78,-1307166.96,6171168.21
2026-03-14T08:01:10Z,2481921.61,-1262177.01,6356104.61,2476395.52,-1261610.57,6358372.08,2478351.6,-1266979.46,6356542.14
2026-03-14T08:02:10Z,2058141.11,-1216600.24,6514371.08,2052486.52,-1215963.47,6516273.74,2054506.85,-1221367.53,6514626.2
2026-03-14T08:03:10Z,1625526.41,-1165793.47,6644673.13,1619767.59,-1165089.1,6646202.81,1621840.04,-1170526.96,6644741.76
2026-03-14T08:04:10Z,1185934.67,-1109974.81,6746451.39,1180096.36,-1109205.88,6747601.53,1182208.55,-1114676.02,6746330.25
2026-03-14T08:05:10Z,741253.014,-1049383.89,6819268.95,735360.263,-1048553.68,6820034.6,737499.674,-1054054.46,6818955.56
2026-03-14T08:06:10Z,293390.402,-984280.812,6862813.19,287468.51,-983392.894,6863191.08,289622.492,-988922.529,6862305.92
2026-03-14T08:07:10Z,-155730.546,-914945.057,6876897.2,-161656.155,-914003.242,6876885.7,-159500.315,-919559.825,6876195.24
2026-03-14T08:08:10Z,-604181.806,-841674.275,6861460.51,-610085.696,-840682.607,6861059.67,-607940.715,-846264.116,6860563.87
2026-03-14T08:09:10Z,-1050038.23,-764783.008,6816569.39,-1055895.06,-763745.744,6815780.92,-1053773.61,-769350.052,6815478.94
2026-03-14T08:10:10Z,-1491385.81,-684601.343,6742416.55,-1497170.43,-683522.936,6741243.85,-1495085.09,-689147.815,6741133.99
2026-03-14T08:11:10Z,-1926329.9,-601473.489,6639320.32,-1932017.48,-600358.568,6637768.42,-1929980.65,-606001.704,6637848.16
2026-03-14T08:12:10Z,-2353003.33,-515756.303,6507723.28,-2358569.45,-514609.655,6505798.84,-2356593.36,-520268.655,6506064.85
2026-03-14T08:13:10Z,-2769574.44,-427817.761,6348190.36,-2774995.22,-426644.307,6345901.65,-2773091.8,-432316.71,6346349.79
2026-03-14T08:14:10Z,-3174254.95,-338035.371,6161406.42,-3179507.1,-336840.149,6158763.25,-3177687.99,-342523.436,6159388.63
2026-03-14T08:15:10Z,-3565307.61,-246794.558,5948173.3,-3570368.59,-245582.7,5945187.03,-3568645.07,-251274.304,5945983.95
2026-03-14T08:16:10Z,-3941053.68,-154487.008,5709406.38,-3945901.77,-153263.716,5706089.82,-3944284.68,-158961.037,5707051.89
2026-03-14T08:17:10Z,-4299880.12,-61508.9868,5446130.66,-4304494.5,-60279.5115,5442498.05,-4302994.27,-65979.9247,5443618.14
2026-03-14T08:18:10Z,-4640246.53,31740.3627,5159476.35,-4644607.4,32970.7428,5155543.29,-4643233.93,27269.8771,5156813.61
2026-03-14T08:19:10Z,-4960691.77,124860.732,4850674.02,-4964780.4,126086.735,4846457.39,-4963543.05,120388.058,4847869.49
2026-03-14T08:20:10Z,-5259840.2,217452.366,4521049.33,-5263639.04,218668.73,4516567.23,-5262546.59,212974.872,4518112.07
2026-03-14T08:21:10Z,-5536407.61,309117.781,4172017.31,-5539900.36,310319.283,4167288.98,-5538960.95,304632.856,4168956.94
2026-03-14T08:22:10Z,-5789206.74,399463.468,3805076.32,-5792378.4,400644.95,3800122.06,-5791599.53,394968.533,3801902.98
2026-03-14T08:23:10Z,-6017152.34,488101.584,3421801.59,-6019989.29,489257.974,3416642.67,-6019377.78,483594.103,3418525.92
2026-03-14T08:24:10Z,-6219265.87,574651.615,3023838.47,-6221755.94,575777.949,3018497.04,-6221317.87,570129.107,3020471.54
2026-03-14T08:25:10Z,-6394679.68,658742.013,2612895.37,-6396812.18,659833.457,2607394.35,-6396552.9,654202.059,2609448.65
2026-03-14T08:26:10Z,-6542640.75,740011.789,2190736.43,-6544406.52,741063.655,2185099.44,-6544330.6,735452.046,2187221.72
2026-03-14T08:27:10Z,-6662513.89,818112.06,1759173.9,-6663905.35,819119.834,1753425.14,-6664016.58,813530.271,1755603.31
2026-03-14T08:28:10Z,-6753784.51,892707.551,1320060.46,-6754795.68,893666.907,1314224.61,-6755097.06,888101.553,1316446.32
2026-03-14T08:29:10Z,-6816060.78,963478.033,875281.145,-6816687.33,964384.853,869383.255,-6817181.02,958845.767,871635.987
2026-03-14T08:30:10Z,-6849075.36,1030119.7,426745.352,-6849314.6,1030970.09,420810.742,-6850001.95,1025459.22,423081.835
2026-03-14T08:31:10Z,-6852686.54,1092346.46,-23621.4105,-6852537.44,1093136.77,-29567.2645,-6853418.95,1087655.94,-27290.5502
2026-03-14T08:32:10Z,-6826878.79,1149891.18,-473885.773,-6826341.99,1150618.02,-479817.346,-6827417.36,1145168.93,-477547.772
2026-03-14T08:33:10Z,-6771762.92,1202506.84,-922114.805,-6770840.73,1203167.09,-928006.633,-6772108.79,1197751.29,-925756.932
2026-03-14T08:34:10Z,-6687575.54,1249967.56,-1366384.31,-6686271.9,1250558.38,-1372211.1,-6687730.68,1245177.3,-1369993.92
2026-03-14T08:35:10Z,-6574678.03,1292069.6,-1804787.1,-6572998.56,1292588.45,-1810523.84,-6574645.26,1287243.35,-1808351.68
2026-03-14T08:36:10Z,-6433555.07,1328632.21,-2235441.16,-6431506.97,1329076.87,-2241063.22,-6433337.98,1323768.87,-2238948.4
2026-03-14T08:37:10Z,-6264812.47,1359498.44,-2656497.74,-6262404.53,1359867,-2661980.98,-6264415.47,1354597.05,-2659935.57
2026-03-14T08:38:10Z,-6069174.63,1384535.79,-3066149.29,-6066417.19,1384826.67,-3071470.19,-6068602.87,1379595.55,-3069505.95
2026-03-14T08:39:10Z,-5847481.4,1403636.76,-3462637.24,-5844386.29,1403848.71,-3467772.94,-5846740.81,1398657.06,-3465901.31
2026-03-14T08:40:10Z,-5600684.47,1416719.37,-3844259.51,-5597264.99,1416851.48,-3849187.97,-5599781.7,1411699.75,-3847419.95
2026-03-14T08:41:10Z,-5329843.33,1423727.46,-4209377.84,-5326114.15,1423779.16,-4214077.9,-5328785.7,1418667.63,-4212424.08
2026-03-14T08:42:10Z,-5036120.65,1424630.92,-4556424.81,-5032097.78,1424601.99,-4560876.3,-5034916.18,1419530.78,-4559346.77
2026-03-14T08:43:10Z,-4720777.35,1419425.9,-4883910.61,-4716478.07,1419316.46,-4888094.41,-4719434.68,1414285.5,-4886698.72
2026-03-14T08:44:10Z,-4385167.17,1408134.73,-5190429.36,-4380609.93,1407945.25,-5194327.52,-4383695.51,1402954.31,-5193074.65
2026-03-14T08:45:10Z,-4030730.84,1390805.88,-5474665.23,-4025935.2,1390537.18,-5478261.01,-4029139.98,1385585.85,-5477159.33
2026-03-14T08:46:10Z,-3658989.91,1367513.74,-5735398.03,-3653976.46,1367166.98,-5738675.98,-3657290.15,1362254.69,-5737733.22
2026-03-14T08:47:10Z,-3271540.22,1338358.31,-5971508.45,-3266330.48,1337934.97,-5974454.52,-3269742.31,1333060.97,-5973677.69
2026-03-14T08:48:10Z,-2870045.05,1303464.75,-6181982.9,-2864661.38,1302966.64,-6184584.44,-2868160.18,1298130.02,-6183979.88
2026-03-14T08:49:10Z,-2456227.96,1262982.85,-6365917.85,-2450693.48,1262412.12,-6368163.68,-2454267.68,1257611.81,-6367736.98
2026-03-14T08:50:10Z,-2031865.43,1217086.39,-6522523.68,-2026203.89,1216445.48,-6524404.17,-2029841.62,1211680.26,-6524160.14
2026-03-14T08:51:10Z,-1598779.18,1165972.4,-6651128.1,-1593014.9,1165264.07,-6652635.17,-1596704,1160532.56,-6652577.85
