sample_id,density_scale,drag_coefficient,ballistic_coefficient_m2_per_kg,semi_major_axis_delta_m,altitude_delta_m,along_track_shift_km,ground_distance_delta_km,command_distance_delta_km,within_tolerance
0,0.890035349613677,2.082965462859312,0.006666666666666667,-0.025899315252900124,-0.025899315252900124,0.003661429384227909,0.0004905809563711436,0.003661429384227909,True
1,0.981280852266261,2.41673188057076,0.006666666666666667,-0.03312994819134474,-0.03312994819134474,0.004683636115851343,0.0006275425370502674,0.004683636115851343,True
2,1.1524778826339817,2.364259430911831,0.006666666666666667,-0.03806507494300604,-0.03806507494300604,0.005381323080970122,0.0007210229521225975,0.005381323080970122,True
3,1.2290452707232338,2.3016074079990294,0.006666666666666667,-0.03951828461140394,-0.03951828461140394,0.005586765837788058,0.0007485494434304506,0.005586765837788058,True
4,1.1251379520755345,2.0149133567816575,0.006666666666666667,-0.031670951284468174,-0.031670951284468174,0.004477375210659621,0.0005999064251627045,0.004477375210659621,True
5,0.8764010962398643,2.372403639745173,0.006666666666666667,-0.02904627565294504,-0.02904627565294504,0.004106320447514959,0.0005501902128676634,0.004106320447514959,True
6,1.010910008473616,2.0594790254380975,0.006666666666666667,-0.02908498328179121,-0.02908498328179121,0.004111792601945167,0.0005509234059657867,0.004111792601945167,True
7,0.8877344240560261,2.2010979199750835,0.006666666666666667,-0.02729740645736456,-0.02729740645736456,0.003859079930252717,0.0005170633990788502,0.003859079930252717,True
8,1.2249747770905308,2.100555319932392,0.006666666666666667,-0.03594679944217205,-0.03594679944217205,0.005081858962337853,0.000680898897197409,0.005081858962337853,True
9,0.953538061203381,2.2996300296531675,0.006666666666666667,-0.030633382499217987,-0.030633382499217987,0.004330692412795628,0.0005802529566104257,0.004330692412795628,True
10,1.2043826006494955,2.071838372074731,0.006666666666666667,-0.03485935088247061,-0.03485935088247061,0.0049281245850605225,0.0006603006144183628,0.0049281245850605225,True
11,1.119258615943564,2.2938422100176132,0.006666666666666667,-0.035866825841367245,-0.035866825841367245,0.005070553037349683,0.0006793840594356186,0.005070553037349683,True
12,0.9240365566444081,2.107337004173053,0.006666666666666667,-0.0272033317014575,-0.0272033317014575,0.003845780377248188,0.000515281442704005,0.003845780377248188,True
13,1.0773665004874837,2.025481118437634,0.006666666666666667,-0.030485310591757298,-0.030485310591757298,0.004309759188779654,0.0005774481937760187,0.004309759188779654,True
14,1.1732286599869393,2.0078709698210346,0.006666666666666667,-0.03290920704603195,-0.03290920704603195,0.004652429488013413,0.0006233612800264948,0.004652429488013413,True
15,0.5218633165070184,2.3581327233676284,0.006666666666666667,-0.017191903665661812,-0.017191903665661812,0.0024304480933311687,0.0003256464688826044,0.0024304480933311687,True
16,0.9275939887263316,2.2059122909927353,0.006666666666666667,-0.028585455380380154,-0.028585455380380154,0.004041173581664009,0.0005414614328203374,0.004041173581664009,True
17,1.38497637201214,2.083310096918098,0.006666666666666667,-0.040308370254933834,-0.040308370254933834,0.005698461593609599,0.0007635151316803919,0.005698461593609599,True
18,1.2393542977070588,2.142614841909645,0.006666666666666667,-0.03709697909653187,-0.03709697909653187,0.0052444618290736515,0.0007026854350494175,0.0052444618290736515,True
19,0.8121841514472462,2.2340254288291317,0.006666666666666667,-0.025347876362502575,-0.025347876362502575,0.003583471569138585,0.00048013568610378053,0.003583471569138585,True
20,1.1109463330740488,2.155409493939909,0.006666666666666667,-0.033451979979872704,-0.033451979979872704,0.004729162222971544,0.0006336424064802477,0.004729162222971544,True
21,1.0861602580417686,2.2716092300021287,0.006666666666666667,-0.03446882590651512,-0.03446882590651512,0.004872915475745979,0.0006529033564609657,0.004872915475745979,True
22,0.8078344572969396,2.2331563820137785,0.006666666666666667,-0.025202317163348198,-0.025202317163348198,0.003562893598884026,0.00047737852236572103,0.003562893598884026,True
23,0.908420202959706,2.248927979914123,0.006666666666666667,-0.028540480881929398,-0.028540480881929398,0.004034815370337642,0.0005406095203386341,0.004034815370337642,True
24,0.7562973251236096,2.0544426203160677,0.006666666666666667,-0.021706286817789078,-0.021706286817789078,0.0030686539447478704,0.0004111572364255616,0.0030686539447478704,True
25,0.8341526620355069,2.167111260391058,0.006666666666666667,-0.02525374013930559,-0.02525374013930559,0.003570163316571916,0.0004783525641077893,0.003570163316571916,True
26,0.9342354254760248,2.290635610633968,0.006666666666666667,-0.02989587653428316,-0.02989587653428316,0.004226429978367893,0.0005662832307390287,0.004226429978367893,True
27,0.784202670077877,2.0525568264513403,0.006666666666666667,-0.022486531175673008,-0.022486531175673008,0.003178958419848082,0.00042593651227880593,0.003178958419848082,True
28,1.3429444619391706,2.3006745061241296,0.006666666666666667,-0.0431630564853549,-0.0431630564853549,0.006102033372370038,0.000817588174858978,0.006102033372370038,True
29,0.8706788964322483,2.283765351932699,0.006666666666666667,-0.02777847833931446,-0.02777847833931446,0.003927089860957172,0.0005261757902645024,0.003927089860957172,True
30,1.1886765325004833,2.139622210898839,0.006666666666666667,-0.03553037066012621,-0.03553037066012621,0.005022987856739258,0.0006730109823268958,0.005022987856739258,True
31,1.0069932056006476,2.1001678092573295,0.006666666666666667,-0.029544693417847157,-0.029544693417847157,0.004176782615989178,0.000559631170037825,0.004176782615989178,True
32,1.2112435637477303,2.22740420810599,0.006666666666666667,-0.037690289318561554,-0.037690289318561554,0.0053283391119002274,0.0007139238322186016,0.0053283391119002274,True
