time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,525383.777,525399.753,525389.594
2026-03-21T07:38:41Z,525404.02,525420.016,525409.843
2026-03-21T07:38:42Z,525424.289,525440.304,525430.117
2026-03-21T07:38:43Z,525444.582,525460.617,525450.416
2026-03-21T07:38:44Z,525464.899,525480.954,525470.739
2026-03-21T07:38:45Z,525485.242,525501.315,525491.087
2026-03-21T07:38:46Z,525505.608,525521.7,525511.459
2026-03-21T07:38:47Z,525525.998,525542.11,525531.855
2026-03-21T07:38:48Z,525546.413,525562.544,525552.275
2026-03-21T07:38:49Z,525566.852,525583.001,525572.719
2026-03-21T07:38:50Z,525587.315,525603.483,525593.187
2026-03-21T07:38:51Z,525607.801,525623.988,525613.679
2026-03-21T07:38:52Z,525628.312,525644.517,525634.195
2026-03-21T07:38:53Z,525648.846,525665.07,525654.734
2026-03-21T07:38:54Z,525669.403,525685.646,525675.297
2026-03-21T07:38:55Z,525689.984,525706.245,525695.883
2026-03-21T07:38:56Z,525710.588,525726.868,525716.492
2026-03-21T07:38:57Z,525731.216,525747.513,525737.125
2026-03-21T07:38:58Z,525751.866,525768.182,525757.78
2026-03-21T07:38:59Z,525772.54,525788.874,525778.459
2026-03-21T07:39:00Z,525793.236,525809.589,525799.161
2026-03-21T07:39:01Z,525813.956,525830.326,525819.885
2026-03-21T07:39:02Z,525834.698,525851.086,525840.632
2026-03-21T07:39:03Z,525855.463,525871.868,525861.402
2026-03-21T07:39:04Z,525876.25,525892.673,525882.194
2026-03-21T07:39:05Z,525897.06,525913.501,525903.008
2026-03-21T07:39:06Z,525917.892,525934.35,525923.845
2026-03-21T07:39:07Z,525938.746,525955.222,525944.704
2026-03-21T07:39:08Z,525959.622,525976.116,525965.585
2026-03-21T07:39:09Z,525980.521,525997.031,525986.488
2026-03-21T07:39:10Z,526001.441,526017.969,526007.413
2026-03-21T07:39:11Z,526022.383,526038.928,526028.36
2026-03-21T07:39:12Z,526043.347,526059.909,526049.328
2026-03-21T07:39:13Z,526064.332,526080.912,526070.318
2026-03-21T07:39:14Z,526085.339,526101.935,526091.33
2026-03-21T07:39:15Z,526106.368,526122.981,526112.363
2026-03-21T07:39:16Z,526127.417,526144.047,526133.417
2026-03-21T07:39:17Z,526148.488,526165.134,526154.492
2026-03-21T07:39:18Z,526169.58,526186.243,526175.588
2026-03-21T07:39:19Z,526190.693,526207.372,526196.705
2026-03-21T07:39:20Z,526211.827,526228.523,526217.843
2026-03-21T07:39:21Z,526232.981,526249.693,526239.002
2026-03-21T07:39:22Z,526254.157,526270.885,526260.182
2026-03-21T07:39:23Z,526275.352,526292.097,526281.382
2026-03-21T07:39:24Z,526296.569,526313.329,526302.602
2026-03-21T07:39:25Z,526317.805,526334.582,526323.843
2026-03-21T07:39:26Z,526339.062,526355.855,526345.104
2026-03-21T07:39:27Z,526360.34,526377.148,526366.385
2026-03-21T07:39:28Z,526381.637,526398.461,526387.686
2026-03-21T07:39:29Z,526402.954,526419.794,526409.007
2026-03-21T07:39:30Z,526424.291,526441.146,526430.348
2026-03-21T07:39:31Z,526445.648,526462.519,526451.709
2026-03-21T07:39:32Z,526467.024,526483.91,526473.089
2026-03-21T07:39:33Z,526488.42,526505.322,526494.489
2026-03-21T07:39:34Z,526509.835,526526.752,526515.908
2026-03-21T07:39:35Z,526531.27,526548.202,526537.346
2026-03-21T07:39:36Z,526552.724,526569.671,526558.804
2026-03-21T07:39:37Z,526574.197,526591.159,526580.281
2026-03-21T07:39:38Z,526595.689,526612.666,526601.776
2026-03-21T07:39:39Z,526617.2,526634.192,526623.291
2026-03-21T07:39:40Z,526638.73,526655.737,526644.824
2026-03-21T07:39:41Z,526660.278,526677.3,526666.376
2026-03-21T07:39:42Z,526681.845,526698.882,526687.946
2026-03-21T07:39:43Z,526703.431,526720.482,526709.535
2026-03-21T07:39:44Z,526725.035,526742.1,526731.143
2026-03-21T07:39:45Z,526746.657,526763.737,526752.768
2026-03-21T07:39:46Z,526768.298,526785.391,526774.412
2026-03-21T07:39:47Z,526789.956,526807.064,526796.074
2026-03-21T07:39:48Z,526811.632,526828.755,526817.753
2026-03-21T07:39:49Z,526833.327,526850.463,526839.451
2026-03-21T07:39:50Z,526855.039,526872.189,526861.166
2026-03-21T07:39:51Z,526876.769,526893.932,526882.899
2026-03-21T07:39:52Z,526898.516,526915.693,526904.649
2026-03-21T07:39:53Z,526920.28,526937.472,526926.417
2026-03-21T07:39:54Z,526942.062,526959.267,526948.202
2026-03-21T07:39:55Z,526963.862,526981.08,526970.004
2026-03-21T07:39:56Z,526985.678,527002.91,526991.823
2026-03-21T07:39:57Z,527007.511,527024.757,527013.659
2026-03-21T07:39:58Z,527029.362,527046.62,527035.512
2026-03-21T07:39:59Z,527051.229,527068.5,527057.382
2026-03-21T07:40:00Z,527073.112,527090.397,527079.268
2026-03-21T07:40:01Z,527095.013,527112.31,527101.171
2026-03-21T07:40:02Z,527116.929,527134.24,527123.091
2026-03-21T07:40:03Z,527138.863,527156.186,527145.027
2026-03-21T07:40:04Z,527160.812,527178.148,527166.978
2026-03-21T07:40:05Z,527182.777,527200.126,527188.947
2026-03-21T07:40:06Z,527204.759,527222.121,527210.931
2026-03-21T07:40:07Z,527226.757,527244.131,527232.931
2026-03-21T07:40:08Z,527248.77,527266.157,527254.946
2026-03-21T07:40:09Z,527270.799,527288.198,527276.978
2026-03-21T07:40:10Z,527292.844,527310.255,527299.025
2026-03-21T07:40:11Z,527314.904,527332.327,527321.088
2026-03-21T07:40:12Z,527336.98,527354.415,527343.165
2026-03-21T07:40:13Z,527359.071,527376.518,527365.259
2026-03-21T07:40:14Z,527381.177,527398.636,527387.367
2026-03-21T07:40:15Z,527403.298,527420.769,527409.49
2026-03-21T07:40:16Z,527425.434,527442.917,527431.628
2026-03-21T07:40:17Z,527447.585,527465.08,527453.782
2026-03-21T07:40:18Z,527469.751,527487.257,527475.949
2026-03-21T07:40:19Z,527491.931,527509.449,527498.132
2026-03-21T07:40:20Z,527514.126,527531.655,527520.329
2026-03-21T07:40:21Z,527536.336,527553.876,527542.54
2026-03-21T07:40:22Z,527558.559,527576.111,527564.766
