sample_id,density_scale,drag_coefficient,ballistic_coefficient_m2_per_kg,semi_major_axis_delta_m,altitude_delta_m,along_track_shift_km,ground_distance_delta_km,command_distance_delta_km,within_tolerance
0,0.7816303816456824,2.0490603945769754,0.006666666666666667,-0.02237459272146225,-0.02237459272146225,0.0031631335267829725,0.00042381619522235953,0.0031631335267829725,True
1,0.6296760301757962,2.247273871882427,0.006666666666666667,-0.0197684271261096,-0.0197684271261096,0.0027946955140234655,0.00037445059132961713,0.0027946955140234655,True
2,0.8827416035849056,2.366821253797023,0.006666666666666667,-0.029187574982643127,-0.029187574982643127,0.004126296200318701,0.0005528666877866955,0.004126296200318701,True
3,1.3182367784423308,2.0971780684164982,0.006666666666666667,-0.03862137068063021,-0.03862137068063021,0.005459967642091653,0.0007315602368711672,0.005459967642091653,True
4,0.9094951344232809,2.3679962261320586,0.006666666666666667,-0.030087100341916084,-0.030087100341916084,0.004253463543107102,0.0005699053549566937,0.004253463543107102,True
5,1.0952243060656097,2.235444824094419,0.006666666666666667,-0.03420314006507397,-0.03420314006507397,0.004835354921440649,0.0006478707610673978,0.004835354921440649,True
6,1.2273665036047696,2.1298479276903235,0.006666666666666667,-0.036519247107207775,-0.036519247107207775,0.005162786963754793,0.0006917421314007908,0.005162786963754793,True
7,0.8033030090234091,2.4133804383389004,0.006666666666666667,-0.027083459310233593,-0.027083459310233593,0.0038288337600438753,0.0005130108301090551,0.0038288337600438753,True
8,1.2832767549622415,2.0076613787392534,0.006666666666666667,-0.035992312245070934,-0.035992312245070934,0.005088293262371892,0.0006817610045148066,0.005088293262371892,True
9,1.1203879909189294,2.2018015455553197,0.006666666666666667,-0.03446240443736315,-0.03446240443736315,0.004872007605022365,0.0006527817143258557,0.004872007605022365,True
10,0.9406939958485441,2.257653136543074,0.006666666666666667,-0.029669111594557762,-0.029669111594557762,0.004194371832193943,0.0005619878820215991,0.004194371832193943,True
11,1.1654133320779523,2.3526888245403406,0.006666666666666667,-0.03830393776297569,-0.03830393776297569,0.005415091535091933,0.0007255474584778516,0.005415091535091933,True
12,0.5210071466466994,2.2213599863663096,0.006666666666666667,-0.0161681966856122,-0.0161681966856122,0.00228572490430024,0.00030625556084277984,0.00228572490430024,True
13,1.3051802099484666,2.120121593701173,0.006666666666666667,-0.038657182827591896,-0.038657182827591896,0.005465030397724441,0.0007322385761861094,0.005465030397724441,True
14,1.0576236202566411,2.0861025216938494,0.006666666666666667,-0.030822349712252617,-0.030822349712252617,0.004357406950308304,0.000583832335586963,0.004357406950308304,True
15,0.6486640902983192,2.060365576211453,0.006666666666666667,-0.01867080759257078,-0.01867080759257078,0.002639523241953041,0.00035365965051221157,0.002639523241953041,True
16,0.8325817408854203,2.1687773469045033,0.006666666666666667,-0.025225559249520302,-0.025225559249520302,0.003566179306644476,0.000477818761814943,0.003566179306644476,True
17,1.4247533821905216,1.9440078784931827,0.006666666666666667,-0.038693380542099476,-0.038693380542099476,0.005470147817770078,0.0007329242397772075,0.005470147817770078,True
18,1.3577795524029999,2.1019457965355435,0.006666666666666667,-0.039870320819318295,-0.039870320819318295,0.005636533825438833,0.0007552176662517226,0.005636533825438833,True
19,1.1133241636241227,2.2940199934414665,0.006666666666666667,-0.035679420456290245,-0.035679420456290245,0.0050440592349957816,0.0006758342559209932,0.0050440592349957816,True
20,0.8299573476122024,2.0689416282597395,0.006666666666666667,-0.023988492786884308,-0.023988492786884308,0.0033912933073881953,0.0004543864538915277,0.0033912933073881953,True
21,1.156176575020813,2.1420239561212377,0.006666666666666667,-0.034597717225551605,-0.034597717225551605,0.0048911370332585255,0.0006553447934444518,0.0048911370332585255,True
22,1.0783355624805995,2.114527165337211,0.006666666666666667,-0.03185415919870138,-0.03185415919870138,0.004503275624969057,0.0006033767228767791,0.004503275624969057,True
23,0.7746602376897874,2.1970294344620074,0.006666666666666667,-0.0237763999029994,-0.0237763999029994,0.003361309292641451,0.0004503690101320856,0.003361309292641451,True
24,0.8813206812631739,2.35149603133219,0.006666666666666667,-0.028951906599104404,-0.028951906599104404,0.004092979344362897,0.0005484026893470466,0.004092979344362897,True
25,1.0897084516006958,2.2097776137966174,0.006666666666666667,-0.03364014346152544,-0.03364014346152544,0.0047557631467995565,0.0006372065627925656,0.0047557631467995565,True
26,0.8821931090191009,2.2091388226449777,0.006666666666666667,-0.027226111851632595,-0.027226111851632595,0.003849000773370483,0.0005157129312959672,0.003849000773370483,True
27,0.9348842553312631,2.2692920978659816,0.006666666666666667,-0.029637884348630905,-0.029637884348630905,0.0041899571290184715,0.0005613963727833637,0.0041899571290184715,True
28,1.1717460205888683,2.1621230290381384,0.006666666666666667,-0.035392630845308304,-0.035392630845308304,0.0050035152502533094,0.0006704019220636919,0.0050035152502533094,True
29,1.3139471490952344,1.976272036023042,0.006666666666666667,-0.03627634979784489,-0.03627634979784489,0.005128448104013868,0.0006871411985724905,0.005128448104013868,True
30,1.1928867943044321,2.311404447248873,0.006666666666666667,-0.03851892240345478,-0.03851892240345478,0.005445484299415043,0.0007296196690338222,0.005445484299415043,True
31,0.8636391557902945,2.3111592521493205,0.006666666666666667,-0.027884390205144882,-0.027884390205144882,0.003942062846153626,0.0005281819634352999,0.003942062846153626,True
32,0.9224318498056219,2.4414192147952036,0.006666666666666667,-0.031461223028600216,-0.031461223028600216,0.0044477255447563134,0.0005959337795293935,0.0044477255447563134,True
33,0.9618730309939877,2.1604033008207666,0.006666666666666667,-0.029030300676822662,-0.029030300676822662,0.004104062067152283,0.0005498876210976449,0.004104062067152283,True
