time_utc,semi_major_axis_km,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,mean_anomaly_deg
2026-03-21T07:38:40Z,6939.24434,0.000546098319,97.6927546,350.996259,120.418436,270.053542
2026-03-21T07:38:41Z,6939.24227,8.6124611e-08,97.6927478,350.996255,210.47195,180.000027
2026-03-21T07:38:42Z,6939.24227,8.61247499e-08,97.6927344,350.996247,210.534547,180.000008
2026-03-21T07:38:43Z,6939.24227,8.6124658e-08,97.6927209,350.996239,210.597133,180
2026-03-21T07:38:44Z,6939.24227,8.61245793e-08,97.6927075,350.996231,210.659705,180.000004
2026-03-21T07:38:45Z,6939.24227,8.61247992e-08,97.692694,350.996223,210.722306,179.99998
2026-03-21T07:38:46Z,6939.24227,8.61246128e-08,97.6926806,350.996215,210.784839,180.000024
2026-03-21T07:38:47Z,6939.24227,8.61245602e-08,97.6926672,350.996207,210.847446,179.999994
2026-03-21T07:38:48Z,6939.24227,8.612483e-08,97.6926538,350.996199,210.910054,179.999963
2026-03-21T07:38:49Z,6939.24227,8.61246496e-08,97.6926404,350.996191,210.972606,179.999989
2026-03-21T07:38:50Z,6939.24227,8.61245762e-08,97.692627,350.996182,211.035161,180.000011
2026-03-21T07:38:51Z,6939.24227,8.61246287e-08,97.6926136,350.996174,211.097707,180.000043
2026-03-21T07:38:52Z,6939.24227,8.61246578e-08,97.6926003,350.996166,211.160325,180.000001
2026-03-21T07:38:53Z,6939.24227,8.61247715e-08,97.6925869,350.996158,211.22291,179.999994
2026-03-21T07:38:54Z,6939.24227,8.61245348e-08,97.6925735,350.99615,211.285475,180.000005
2026-03-21T07:38:55Z,6939.24227,8.61245416e-08,97.6925602,350.996142,211.348089,179.999969
2026-03-21T07:38:56Z,6939.24227,8.61247184e-08,97.6925469,350.996133,211.41067,179.999965
2026-03-21T07:38:57Z,6939.24227,8.61245929e-08,97.6925335,350.996125,211.473187,180.000025
2026-03-21T07:38:58Z,6939.24227,8.61247492e-08,97.6925202,350.996117,211.535755,180.000034
2026-03-21T07:38:59Z,6939.24227,8.61247267e-08,97.6925069,350.996109,211.598371,179.999995
