time_utc,SAT-1_vx_mps,SAT-1_vy_mps,SAT-1_vz_mps,SAT-2_vx_mps,SAT-2_vy_mps,SAT-2_vz_mps,SAT-3_vx_mps,SAT-3_vy_mps,SAT-3_vz_mps
2026-03-21T07:38:40Z,-3929.45258,-262.969533,6475.47299,-3934.96154,-261.644677,6472.18053,-3932.20706,-262.307105,6473.82676
2026-03-21T07:38:41Z,-3932.93171,-262.132758,6473.39312,-3938.43881,-260.807779,6470.0976,-3935.68526,-261.470269,6471.74536
2026-03-21T07:38:42Z,-3939.88762,-260.459052,6469.22952,-3945.391,-259.133827,6465.92789,-3942.63931,-259.79644,6467.5787
2026-03-21T07:38:43Z,-3946.83883,-258.785036,6465.0582,-3952.33848,-257.459566,6461.75046,-3949.58865,-258.122301,6463.40433
2026-03-21T07:38:44Z,-3953.78533,-257.11071,6460.87916,-3959.28125,-255.784997,6457.56533,-3956.53329,-256.447854,6459.22225
2026-03-21T07:38:45Z,-3960.72711,-255.436078,6456.69242,-3966.21929,-254.110124,6453.37249,-3963.4732,-254.773101,6455.03246
2026-03-21T07:38:46Z,-3967.66418,-253.761142,6452.49798,-3973.15261,-252.434948,6449.17195,-3970.40839,-253.098045,6450.83497
2026-03-21T07:38:47Z,-3974.5965,-252.085902,6448.29584,-3980.08118,-250.75947,6444.96372,-3977.33884,-251.422686,6446.62978
2026-03-21T07:38:48Z,-3981.52409,-250.410362,6444.08601,-3987.00501,-249.083693,6440.74781,-3984.26455,-249.747028,6442.41691
2026-03-21T07:38:49Z,-3988.44693,-248.734523,6439.86849,-3993.92408,-247.407619,6436.5242,-3991.1855,-248.071071,6438.19635
2026-03-21T07:38:50Z,-3995.365,-247.058388,6435.64329,-4000.83839,-245.73125,6432.29293,-3998.1017,-246.394819,6433.96811
2026-03-21T07:38:51Z,-4002.27832,-245.381958,6431.41041,-4007.74792,-244.054588,6428.05397,-4005.01312,-244.718273,6429.73219
2026-03-21T07:38:52Z,-4009.18686,-243.705235,6427.16986,-4014.65267,-242.377635,6423.80735,-4011.91976,-243.041435,6425.48861
2026-03-21T07:38:53Z,-4016.09061,-242.028221,6422.92165,-4021.55264,-240.700392,6419.55307,-4018.82162,-241.364307,6421.23736
2026-03-21T07:38:54Z,-4022.98958,-240.350918,6418.66577,-4028.4478,-239.022863,6415.29113,-4025.71869,-239.686891,6416.97845
2026-03-21T07:38:55Z,-4029.88374,-238.673329,6414.40223,-4035.33816,-237.345048,6411.02154,-4032.61095,-238.009189,6412.71188
2026-03-21T07:38:56Z,-4036.7731,-236.995455,6410.13104,-4042.22371,-235.66695,6406.7443,-4039.49841,-236.331203,6408.43767
2026-03-21T07:38:57Z,-4043.65764,-235.317299,6405.85221,-4049.10444,-233.988571,6402.45941,-4046.38104,-234.652935,6404.15581
2026-03-21T07:38:58Z,-4050.53736,-233.638862,6401.56574,-4055.98033,-232.309913,6398.16689,-4053.25885,-232.974388,6399.86631
2026-03-21T07:38:59Z,-4057.41225,-231.960146,6397.27162,-4062.85139,-230.630978,6393.86674,-4060.13182,-231.295562,6395.56918
2026-03-21T07:39:00Z,-4064.2823,-230.281153,6392.96988,-4069.7176,-228.951768,6389.55896,-4066.99995,-229.61646,6391.26442
2026-03-21T07:39:01Z,-4071.1475,-228.601886,6388.66051,-4076.57896,-227.272285,6385.24355,-4073.86323,-227.937085,6386.95203
2026-03-21T07:39:02Z,-4078.00784,-226.922346,6384.34352,-4083.43545,-225.59253,6380.92053,-4080.72165,-226.257438,6382.63203
2026-03-21T07:39:03Z,-4084.86332,-225.242535,6380.01892,-4090.28707,-223.912506,6376.5899,-4087.5752,-224.577521,6378.30441
2026-03-21T07:39:04Z,-4091.71393,-223.562455,6375.6867,-4097.13381,-222.232216,6372.25167,-4094.42387,-222.897336,6373.96918
2026-03-21T07:39:05Z,-4098.55965,-221.882109,6371.34688,-4103.97567,-220.55166,6367.90583,-4101.26766,-221.216885,6369.62635
2026-03-21T07:39:06Z,-4105.40049,-220.201499,6366.99945,-4110.81263,-218.870841,6363.55239,-4108.10656,-219.53617,6365.27592
2026-03-21T07:39:07Z,-4112.23643,-218.520625,6362.64444,-4117.64468,-217.189761,6359.19136,-4114.94055,-217.855193,6360.9179
2026-03-21T07:39:08Z,-4119.06746,-216.839491,6358.28183,-4124.47183,-215.508422,6354.82275,-4121.76964,-216.173956,6356.55229
2026-03-21T07:39:09Z,-4125.89358,-215.158098,6353.91164,-4131.29405,-213.826826,6350.44656,-4128.59381,-214.492462,6352.1791
2026-03-21T07:39:10Z,-4132.71478,-213.476449,6349.53387,-4138.11134,-212.144974,6346.06279,-4135.41306,-212.810711,6347.79833
2026-03-21T07:39:11Z,-4139.53104,-211.794544,6345.14852,-4144.9237,-210.46287,6341.67145,-4142.22737,-211.128707,6343.40999
2026-03-21T07:39:12Z,-4146.34237,-210.112388,6340.7556,-4151.73112,-208.780515,6337.27255,-4149.03675,-209.446451,6339.01408
2026-03-21T07:39:13Z,-4153.14876,-208.42998,6336.35513,-4158.53358,-207.09791,6332.86608,-4155.84117,-207.763945,6334.6106
2026-03-21T07:39:14Z,-4159.95019,-206.747324,6331.94709,-4165.33108,-205.415059,6328.45207,-4162.64063,-206.081191,6330.19958
2026-03-21T07:39:15Z,-4166.74665,-205.064421,6327.5315,-4172.12361,-203.731962,6324.0305,-4169.43513,-204.398192,6325.781
2026-03-21T07:39:16Z,-4173.53815,-203.381274,6323.10836,-4178.91117,-202.048623,6319.60139,-4176.22466,-202.714948,6321.35487
2026-03-21T07:39:17Z,-4180.32467,-201.697884,6318.67768,-4185.69374,-200.365042,6315.16474,-4183.0092,-201.031463,6316.92121
2026-03-21T07:39:18Z,-4187.1062,-200.014254,6314.23946,-4192.47132,-198.681223,6310.72056,-4189.78876,-199.347738,6312.48001
2026-03-21T07:39:19Z,-4193.88273,-198.330385,6309.7937,-4199.24389,-196.997166,6306.26885,-4196.56331,-197.663775,6308.03128
2026-03-21T07:39:20Z,-4200.65427,-196.646279,6305.34043,-4206.01146,-195.312874,6301.80961,-4203.33286,-195.979577,6303.57502
2026-03-21T07:39:21Z,-4207.42079,-194.961939,6300.87963,-4212.77401,-193.62835,6297.34286,-4210.0974,-194.295144,6299.11124
2026-03-21T07:39:22Z,-4214.18229,-193.277366,6296.41131,-4219.53154,-191.943594,6292.8686,-4216.85691,-192.61048,6294.63995
2026-03-21T07:39:23Z,-4220.93877,-191.592562,6291.93548,-4226.28403,-190.25861,6288.38683,-4223.6114,-190.925586,6290.16116
2026-03-21T07:39:24Z,-4227.69021,-189.90753,6287.45215,-4233.03148,-188.573398,6283.89756,-4230.36084,-189.240464,6285.67485
2026-03-21T07:39:25Z,-4234.43661,-188.222272,6282.96132,-4239.77388,-186.887962,6279.40079,-4237.10524,-187.555117,6281.18105
2026-03-21T07:39:26Z,-4241.17796,-186.536789,6278.46299,-4246.51122,-185.202302,6274.89653,-4243.84459,-185.869546,6276.67976
2026-03-21T07:39:27Z,-4247.91424,-184.851083,6273.95717,-4253.2435,-183.516422,6270.38479,-4250.57887,-184.183753,6272.17098
2026-03-21T07:39:28Z,-4254.64546,-183.165157,6269.44387,-4259.9707,-181.830323,6265.86557,-4257.30808,-182.49774,6267.65472
2026-03-21T07:39:29Z,-4261.37161,-181.479013,6264.92309,-4266.69282,-180.144007,6261.33887,-4264.03221,-180.81151,6263.13098
2026-03-21T07:39:30Z,-4268.09267,-179.792652,6260.39483,-4273.40985,-178.457476,6256.8047,-4270.75126,-179.125064,6258.59977
2026-03-21T07:39:31Z,-4274.80864,-178.106076,6255.85911,-4280.12179,-176.770732,6252.26307,-4277.46521,-177.438404,6254.06109
2026-03-21T07:39:32Z,-4281.51951,-176.419288,6251.31593,-4286.82861,-175.083777,6247.71398,-4284.17406,-175.751533,6249.51496
2026-03-21T07:39:33Z,-4288.22528,-174.73229,6246.76529,-4293.53033,-173.396614,6243.15744,-4290.8778,-174.064452,6244.96136
2026-03-21T07:39:34Z,-4294.92592,-173.045083,6242.20719,-4300.22692,-171.709243,6238.59345,-4297.57642,-172.377163,6240.40032
2026-03-21T07:39:35Z,-4301.62145,-171.357669,6237.64165,-4306.91838,-170.021668,6234.02202,-4304.26992,-170.689669,6235.83184
