day_offset,centroid_abs_cross_track_km,worst_vehicle_abs_cross_track_km,compliant
-14,1365.204960,1372.363311,0
-13,9176.433749,9192.666393,0
-12,17495.359378,17510.251144,0
-11,13765.592709,13781.889596,0
-10,5323.750280,5340.030849,0
-9,3365.926571,3381.901426,0
-8,11816.310508,11832.708314,0
-7,19330.415096,19338.316005,0
-6,11156.427957,11172.922612,0
-5,2654.143211,2670.457192,0
-4,5933.020314,5949.498299,0
-3,14463.911088,14480.401256,0
-2,17062.001873,17078.515749,0
-1,8529.106811,8545.646078,0
+0,9.748158,28.389457,1
+1,8549.132423,8565.665093,0
+2,17082.746007,17099.253392,0
+3,14449.929330,14466.438121,0
+4,5926.387417,5942.875825,0
+5,2647.487637,2663.815574,0
+6,11146.847039,11163.335179,0
+7,19335.493870,19343.922917,0
+8,11851.081047,11867.494759,0
+9,3414.698470,3430.708847,0
+10,5254.382835,5270.659059,0
+11,13682.542867,13698.834620,0
+12,17591.550231,17606.335014,0
+13,9303.889875,9320.131164,0
+14,1445.492532,1454.026086,0
