time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,566504.829,566520.726,566510.616
2026-03-21T07:38:41Z,566524.912,566540.828,566530.705
2026-03-21T07:38:42Z,566545.019,566560.955,566550.818
2026-03-21T07:38:43Z,566565.151,566581.105,566570.955
2026-03-21T07:38:44Z,566585.307,566601.28,566591.116
2026-03-21T07:38:45Z,566605.486,566621.478,566611.301
2026-03-21T07:38:46Z,566625.69,566641.701,566631.51
2026-03-21T07:38:47Z,566645.917,566661.946,566651.742
2026-03-21T07:38:48Z,566666.167,566682.216,566671.998
2026-03-21T07:38:49Z,566686.442,566702.509,566692.278
2026-03-21T07:38:50Z,566706.739,566722.825,566712.581
2026-03-21T07:38:51Z,566727.061,566743.164,566732.907
2026-03-21T07:38:52Z,566747.405,566763.527,566753.257
2026-03-21T07:38:53Z,566767.772,566783.913,566773.629
2026-03-21T07:38:54Z,566788.163,566804.322,566794.025
2026-03-21T07:38:55Z,566808.576,566824.753,566814.444
2026-03-21T07:38:56Z,566829.013,566845.208,566834.885
2026-03-21T07:38:57Z,566849.472,566865.685,566855.349
2026-03-21T07:38:58Z,566869.954,566886.184,566875.836
2026-03-21T07:38:59Z,566890.458,566906.706,566896.345
2026-03-21T07:39:00Z,566910.985,566927.251,566916.877
2026-03-21T07:39:01Z,566931.534,566947.818,566937.431
2026-03-21T07:39:02Z,566952.105,566968.407,566958.007
2026-03-21T07:39:03Z,566972.699,566989.018,566978.606
2026-03-21T07:39:04Z,566993.315,567009.651,566999.226
2026-03-21T07:39:05Z,567013.952,567030.306,567019.869
2026-03-21T07:39:06Z,567034.612,567050.983,567040.533
2026-03-21T07:39:07Z,567055.293,567071.681,567061.219
2026-03-21T07:39:08Z,567075.996,567092.401,567081.926
2026-03-21T07:39:09Z,567096.721,567113.143,567102.656
2026-03-21T07:39:10Z,567117.467,567133.906,567123.406
2026-03-21T07:39:11Z,567138.234,567154.69,567144.178
