time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,568416.296258652,568440.169121099,568425.719599366
2026-03-21T07:38:41Z,568434.898755004,568465.336560449,568447.600856247
2026-03-21T07:38:42Z,568453.516087942,568490.518668676,568469.496877518
2026-03-21T07:38:43Z,568472.148145016,568515.715325368,568491.407546762
2026-03-21T07:38:44Z,568490.794813691,568540.926410032,568513.332747489
2026-03-21T07:38:45Z,568509.455981359,568566.151802106,568535.272363131
2026-03-21T07:38:46Z,568528.131535336,568591.391380946,568557.226277041
2026-03-21T07:38:47Z,568546.821362854,568616.645025844,568579.194372506
2026-03-21T07:38:48Z,568565.525351081,568641.912616004,568601.176532724
2026-03-21T07:38:49Z,568584.243387098,568667.194030572,568623.172640831
2026-03-21T07:38:50Z,568602.975357924,568692.489148607,568645.182579889
2026-03-21T07:38:51Z,568621.72115049,568717.797849109,568667.206232877
2026-03-21T07:38:52Z,568640.480651663,568743.120010999,568689.24348271
2026-03-21T07:38:53Z,568659.253748236,568768.455513131,568711.294212229
2026-03-21T07:38:54Z,568678.040326932,568793.804234287,568733.358304206
2026-03-21T07:38:55Z,568696.840274399,568819.16605318,568755.43564134
2026-03-21T07:38:56Z,568715.653477211,568844.540848454,568777.52610626
2026-03-21T07:38:57Z,568734.479821876,568869.928498681,568799.629581524
2026-03-21T07:38:58Z,568753.319194831,568895.328882365,568821.745949624
2026-03-21T07:38:59Z,568772.171482447,568920.741877957,568843.87509298
2026-03-21T07:39:00Z,568791.036571021,568946.167363821,568866.016893949
2026-03-21T07:39:01Z,568809.914346782,568971.605218265,568888.171234819
2026-03-21T07:39:02Z,568828.804695897,568997.055319534,568910.33799781
2026-03-21T07:39:03Z,568847.707504461,569022.517545805,568932.517065076
2026-03-21T07:39:04Z,568866.622658502,569047.991775187,568954.708318711
2026-03-21T07:39:05Z,568885.550043989,569073.477885731,568976.911640735
2026-03-21T07:39:06Z,568904.489546813,569098.975755424,568999.12691311
2026-03-21T07:39:07Z,568923.441052815,569124.485262186,569021.354017732
2026-03-21T07:39:08Z,568942.404447763,569150.006283882,569043.592836436
2026-03-21T07:39:09Z,568961.379617361,569175.538698307,569065.843250993
2026-03-21T07:39:10Z,568980.366447256,569201.082383199,569088.105143109
2026-03-21T07:39:11Z,568999.364823028,569226.637216244,569110.378394432
2026-03-21T07:39:12Z,569018.374630193,569252.203075053,569132.662886553
2026-03-21T07:39:13Z,569037.395754213,569277.779837189,569154.958500998
2026-03-21T07:39:14Z,569056.428080484,569303.367380155,569177.265119229
2026-03-21T07:39:15Z,569075.471494345,569328.965581391,569199.582622659
2026-03-21T07:39:16Z,569094.525881072,569354.574318287,569221.910892636
2026-03-21T07:39:17Z,569113.591125885,569380.19346817,569244.249810453
2026-03-21T07:39:18Z,569132.667113941,569405.822908313,569266.599257343
2026-03-21T07:39:19Z,569151.753730348,569431.462515941,569288.959114484
2026-03-21T07:39:20Z,569170.850860149,569457.11216821,569311.329263
2026-03-21T07:39:21Z,569189.958388332,569482.771742228,569333.709583956
2026-03-21T07:39:22Z,569209.076199833,569508.441115055,569356.099958362
2026-03-21T07:39:23Z,569228.204179526,569534.12016369,569378.50026718
2026-03-21T07:39:24Z,569247.342212237,569559.808765084,569400.910391307
2026-03-21T07:39:25Z,569266.49018273,569585.506796134,569423.330211597
2026-03-21T07:39:26Z,569285.647975725,569611.214133685,569445.759608847
2026-03-21T07:39:27Z,569304.815475883,569636.930654529,569468.1984638
2026-03-21T07:39:28Z,569323.99256781,569662.656235419,569490.646657151
2026-03-21T07:39:29Z,569343.179136064,569688.390753048,569513.104069548
2026-03-21T07:39:30Z,569362.375065153,569714.134084058,569535.570581578
2026-03-21T07:39:31Z,569381.58023953,569739.886105052,569558.046073787
2026-03-21T07:39:32Z,569400.794543602,569765.646692578,569580.530426666
2026-03-21T07:39:33Z,569420.017861719,569791.415723141,569603.023520666
2026-03-21T07:39:34Z,569439.250078192,569817.193073195,569625.525236185
2026-03-21T07:39:35Z,569458.491077279,569842.978619152,569648.035453571
2026-03-21T07:39:36Z,569477.740743187,569868.772237377,569670.554053128
2026-03-21T07:39:37Z,569496.998960081,569894.57380419,569693.080915116
2026-03-21T07:39:38Z,569516.265612077,569920.383195869,569715.615919744
2026-03-21T07:39:39Z,569535.540583243,569946.200288643,569738.15894718
2026-03-21T07:39:40Z,569554.823757601,569972.024958703,569760.70987755
2026-03-21T07:39:41Z,569574.115019136,569997.857082196,569783.268590932
2026-03-21T07:39:42Z,569593.414251782,570023.696535226,569805.834967363
2026-03-21T07:39:43Z,569612.721339427,570049.543193859,569828.408886835
2026-03-21T07:39:44Z,569632.03616592,570075.396934115,569850.9902293
2026-03-21T07:39:45Z,569651.358615068,570101.257631977,569873.578874668
2026-03-21T07:39:46Z,569670.688570632,570127.125163392,569896.174702813
2026-03-21T07:39:47Z,569690.02591634,570152.999404264,569918.777593559
2026-03-21T07:39:48Z,569709.370535867,570178.880230457,569941.387426693
2026-03-21T07:39:49Z,569728.722312856,570204.767517799,569964.004081974
2026-03-21T07:39:50Z,569748.08113091,570230.661142082,569986.627439108
2026-03-21T07:39:51Z,569767.446873588,570256.560979065,570009.25737777
2026-03-21T07:39:52Z,569786.819424414,570282.466904463,570031.8937776
2026-03-21T07:39:53Z,569806.198666874,570308.378793959,570054.536518194
2026-03-21T07:39:54Z,569825.584484419,570334.296523205,570077.185479119
2026-03-21T07:39:55Z,569844.976760456,570360.219967814,570099.840539905
2026-03-21T07:39:56Z,569864.375378365,570386.149003369,570122.501580044
2026-03-21T07:39:57Z,569883.780221486,570412.083505417,570145.168478994
2026-03-21T07:39:58Z,569903.191173123,570438.023349474,570167.841116182
2026-03-21T07:39:59Z,569922.608116544,570463.968411024,570190.519371002
2026-03-21T07:40:00Z,569942.03093499,570489.918565519,570213.203122815
2026-03-21T07:40:01Z,569961.459511663,570515.873688387,570235.892250949
2026-03-21T07:40:02Z,569980.893729732,570541.833655017,570258.5866347
2026-03-21T07:40:03Z,570000.333472341,570567.798340774,570281.286153336
2026-03-21T07:40:04Z,570019.778622593,570593.767620989,570303.99068609
2026-03-21T07:40:05Z,570039.229063566,570619.741370974,570326.70011217
2026-03-21T07:40:06Z,570058.684678307,570645.719466005,570349.414310753
2026-03-21T07:40:07Z,570078.145349832,570671.701781335,570372.133160993
2026-03-21T07:40:08Z,570097.610961132,570697.688192189,570394.856542006
2026-03-21T07:40:09Z,570117.081395163,570723.678573768,570417.584332886
2026-03-21T07:40:10Z,570136.556534855,570749.672801245,570440.316412704
2026-03-21T07:40:11Z,570156.036263118,570775.67074977,570463.0526605
2026-03-21T07:40:12Z,570175.520462821,570801.672294473,570485.792955291
2026-03-21T07:40:13Z,570195.009016819,570827.677310451,570508.53717607
2026-03-21T07:40:14Z,570214.501807937,570853.685672793,570531.285201799
2026-03-21T07:40:15Z,570233.998718983,570879.697256547,570554.036911425
2026-03-21T07:40:16Z,570253.499632722,570905.711936758,570576.79218387
2026-03-21T07:40:17Z,570273.004431914,570931.729588436,570599.550898029
2026-03-21T07:40:18Z,570292.512999282,570957.750086579,570622.312932782
2026-03-21T07:40:19Z,570312.025217539,570983.77330616,570645.078166979
2026-03-21T07:40:20Z,570331.540969365,571009.799122137,570667.84647946
2026-03-21T07:40:21Z,570351.060137424,571035.827409449,570690.617749035
2026-03-21T07:40:22Z,570370.582604361,571061.858043011,570713.391854501
2026-03-21T07:40:23Z,570390.108252796,571087.89089773,570736.168674636
2026-03-21T07:40:24Z,570409.636965331,571113.925848488,570758.948088195
2026-03-21T07:40:25Z,570429.16862455,571139.962770157,570781.729973919
2026-03-21T07:40:26Z,570448.703113019,571166.001537589,570804.514210528
2026-03-21T07:40:27Z,570468.240313286,571192.042025625,570827.300676734
