time_utc,SAT-1_x_m,SAT-1_y_m,SAT-1_z_m,SAT-2_x_m,SAT-2_y_m,SAT-2_z_m,SAT-3_x_m,SAT-3_y_m,SAT-3_z_m
2026-03-21T07:38:40Z,5837290.87,-1400975.25,3480861.27,5834180.66,-1401183.57,3485987.98,5834928.8,-1406165.09,3482728.41
2026-03-21T07:38:41Z,5833361.42,-1401238.22,3487336.74,5830245.7,-1401445.22,3492460.16,5830996.59,-1406427.39,3489202.24
2026-03-21T07:38:42Z,5829425.01,-1401499.52,3493808.05,5826303.78,-1401705.19,3498928.17,5827057.43,-1406688.03,3495671.9
2026-03-21T07:38:43Z,5825481.64,-1401759.14,3500275.2,5822354.91,-1401963.48,3505392.01,5823111.32,-1406946.99,3502137.39
2026-03-21T07:38:44Z,5821531.33,-1402017.09,3506738.17,5818399.1,-1402220.11,3511851.67,5819158.25,-1407204.27,3508598.71
2026-03-21T07:38:45Z,5817574.07,-1402273.36,3513196.96,5814436.35,-1402475.05,3518307.14,5815198.25,-1407459.88,3515055.84
2026-03-21T07:38:46Z,5813609.88,-1402527.96,3519651.55,5810466.67,-1402728.33,3524758.42,5811231.31,-1407713.82,3521508.77
2026-03-21T07:38:47Z,5809638.75,-1402780.88,3526101.95,5806490.05,-1402979.92,3531205.49,5807257.43,-1407966.08,3527957.51
2026-03-21T07:38:48Z,5805660.68,-1403032.13,3532548.14,5802506.5,-1403229.84,3537648.35,5803276.63,-1408216.66,3534402.03
2026-03-21T07:38:49Z,5801675.7,-1403281.7,3538990.12,5798516.04,-1403478.09,3544086.98,5799288.9,-1408465.57,3540842.34
2026-03-21T07:38:50Z,5797683.79,-1403529.6,3545427.88,5794518.65,-1403724.66,3550521.39,5795294.26,-1408712.81,3547278.43
2026-03-21T07:38:51Z,5793684.97,-1403775.82,3551861.41,5790514.36,-1403969.55,3556951.57,5791292.7,-1408958.36,3553710.28
2026-03-21T07:38:52Z,5789679.23,-1404020.36,3558290.7,5786503.16,-1404212.77,3563377.5,5787284.23,-1409202.24,3560137.89
2026-03-21T07:38:53Z,5785666.59,-1404263.23,3564715.75,5782485.06,-1404454.31,3569799.18,5783268.86,-1409444.44,3566561.25
2026-03-21T07:38:54Z,5781647.05,-1404504.42,3571136.55,5778460.05,-1404694.17,3576216.61,5779246.59,-1409684.97,3572980.36
2026-03-21T07:38:55Z,5777620.61,-1404743.93,3577553.08,5774428.16,-1404932.35,3582629.77,5775217.42,-1409923.82,3579395.21
2026-03-21T07:38:56Z,5773587.28,-1404981.77,3583965.35,5770389.38,-1405168.86,3589038.65,5771181.37,-1410160.99,3585805.79
2026-03-21T07:38:57Z,5769547.07,-1405217.92,3590373.34,5766343.71,-1405403.69,3595443.26,5767138.43,-1410396.48,3592212.09
2026-03-21T07:38:58Z,5765499.97,-1405452.4,3596777.05,5762291.17,-1405636.84,3601843.57,5763088.6,-1410630.29,3598614.1
2026-03-21T07:38:59Z,5761445.99,-1405685.2,3603176.48,5758231.75,-1405868.31,3608239.59,5759031.91,-1410862.43,3605011.82
2026-03-21T07:39:00Z,5757385.15,-1405916.32,3609571.6,5754165.47,-1406098.1,3614631.3,5754968.34,-1411092.89,3611405.24
2026-03-21T07:39:01Z,5753317.43,-1406145.76,3615962.42,5750092.32,-1406326.21,3621018.71,5750897.91,-1411321.66,3617794.35
2026-03-21T07:39:02Z,5749242.85,-1406373.53,3622348.92,5746012.31,-1406552.64,3627401.79,5746820.61,-1411548.76,3624179.14
2026-03-21T07:39:03Z,5745161.41,-1406599.61,3628731.1,5741925.45,-1406777.4,3633780.55,5742736.46,-1411774.18,3630559.61
2026-03-21T07:39:04Z,5741073.12,-1406824.01,3635108.96,5737831.73,-1407000.47,3640154.97,5738645.46,-1411997.92,3636935.75
2026-03-21T07:39:05Z,5736977.99,-1407046.73,3641482.48,5733731.18,-1407221.86,3646525.05,5734547.62,-1412219.97,3643307.55
2026-03-21T07:39:06Z,5732876,-1407267.77,3647851.65,5729623.78,-1407441.57,3652890.78,5730442.93,-1412440.35,3649675
2026-03-21T07:39:07Z,5728767.18,-1407487.14,3654216.47,5725509.55,-1407659.6,3659252.16,5726331.4,-1412659.04,3656038.1
2026-03-21T07:39:08Z,5724651.53,-1407704.82,3660576.94,5721388.49,-1407875.95,3665609.17,5722213.05,-1412876.06,3662396.84
2026-03-21T07:39:09Z,5720529.05,-1407920.81,3666933.04,5717260.61,-1408090.62,3671961.8,5718087.86,-1413091.39,3668751.21
2026-03-21T07:39:10Z,5716399.74,-1408135.13,3673284.76,5713125.9,-1408303.61,3678310.06,5713955.86,-1413305.04,3675101.2
2026-03-21T07:39:11Z,5712263.62,-1408347.77,3679632.11,5708984.39,-1408514.91,3684653.93,5709817.04,-1413517.01,3681446.8
2026-03-21T07:39:12Z,5708120.68,-1408558.72,3685975.06,5704836.06,-1408724.53,3690993.4,5705671.41,-1413727.3,3687788.02
2026-03-21T07:39:13Z,5703970.94,-1408767.99,3692313.62,5700680.92,-1408932.47,3697328.47,5701518.97,-1413935.91,3694124.83
2026-03-21T07:39:14Z,5699814.38,-1408975.58,3698647.77,5696518.99,-1409138.73,3703659.13,5697359.72,-1414142.83,3700457.24
2026-03-21T07:39:15Z,5695651.03,-1409181.49,3704977.51,5692350.26,-1409343.3,3709985.38,5693193.68,-1414348.07,3706785.23
2026-03-21T07:39:16Z,5691480.89,-1409385.71,3711302.83,5688174.74,-1409546.19,3716307.19,5689020.85,-1414551.63,3713108.8
2026-03-21T07:39:17Z,5687303.96,-1409588.25,3717623.73,5683992.44,-1409747.4,3722624.58,5684841.23,-1414753.5,3719427.94
2026-03-21T07:39:18Z,5683120.24,-1409789.11,3723940.19,5679803.36,-1409946.92,3728937.52,5680654.83,-1414953.69,3725742.64
2026-03-21T07:39:19Z,5678929.75,-1409988.28,3730252.21,5675607.5,-1410144.76,3735246.02,5676461.66,-1415152.19,3732052.9
2026-03-21T07:39:20Z,5674732.48,-1410185.77,3736559.78,5671404.87,-1410340.92,3741550.06,5672261.71,-1415349.02,3738358.71
2026-03-21T07:39:21Z,5670528.44,-1410381.57,3742862.89,5667195.47,-1410535.39,3747849.64,5668054.99,-1415544.15,3744660.05
2026-03-21T07:39:22Z,5666317.63,-1410575.69,3749161.54,5662979.32,-1410728.17,3754144.75,5663841.51,-1415737.61,3750956.93
2026-03-21T07:39:23Z,5662100.07,-1410768.13,3755455.71,5658756.41,-1410919.27,3760435.38,5659621.28,-1415929.37,3757249.33
2026-03-21T07:39:24Z,5657875.76,-1410958.88,3761745.41,5654526.75,-1411108.69,3766721.52,5655394.29,-1416119.46,3763537.25
2026-03-21T07:39:25Z,5653644.69,-1411147.94,3768030.61,5650290.35,-1411296.42,3773003.17,5651160.56,-1416307.86,3769820.68
2026-03-21T07:39:26Z,5649406.88,-1411335.32,3774311.33,5646047.2,-1411482.47,3779280.32,5646920.08,-1416494.57,3776099.61
2026-03-21T07:39:27Z,5645162.34,-1411521.01,3780587.54,5641797.33,-1411666.82,3785552.96,5642672.87,-1416679.59,3782374.04
2026-03-21T07:39:28Z,5640911.06,-1411705.02,3786859.24,5637540.72,-1411849.5,3791821.09,5638418.92,-1416862.94,3788643.95
2026-03-21T07:39:29Z,5636653.05,-1411887.34,3793126.43,5633277.38,-1412030.49,3798084.7,5634158.25,-1417044.59,3794909.35
2026-03-21T07:39:30Z,5632388.31,-1412067.98,3799389.09,5629007.33,-1412209.79,3804343.77,5629890.86,-1417224.56,3801170.22
2026-03-21T07:39:31Z,5628116.86,-1412246.93,3805647.22,5624730.56,-1412387.4,3810598.31,5625616.75,-1417402.84,3807426.55
2026-03-21T07:39:32Z,5623838.7,-1412424.19,3811900.81,5620447.09,-1412563.33,3816848.3,5621335.93,-1417579.44,3813678.34
2026-03-21T07:39:33Z,5619553.82,-1412599.77,3818149.85,5616156.91,-1412737.57,3823093.73,5617048.4,-1417754.34,3819925.58
2026-03-21T07:39:34Z,5615262.24,-1412773.66,3824394.34,5611860.03,-1412910.12,3829334.61,5612754.17,-1417927.56,3826168.26
2026-03-21T07:39:35Z,5610963.97,-1412945.86,3830634.26,5607556.45,-1413080.99,3835570.92,5608453.25,-1418099.1,3832406.38
2026-03-21T07:39:36Z,5606659,-1413116.37,3836869.62,5603246.19,-1413250.16,3841802.65,5604145.63,-1418268.94,3838639.93
2026-03-21T07:39:37Z,5602347.35,-1413285.2,3843100.4,5598929.24,-1413417.65,3848029.81,5599831.33,-1418437.1,3844868.89
2026-03-21T07:39:38Z,5598029.01,-1413452.34,3849326.6,5594605.62,-1413583.46,3854252.37,5595510.35,-1418603.57,3851093.27
2026-03-21T07:39:39Z,5593703.99,-1413617.79,3855548.2,5590275.32,-1413747.57,3860470.33,5591182.69,-1418768.35,3857313.06
2026-03-21T07:39:40Z,5589372.3,-1413781.55,3861765.21,5585938.35,-1413909.99,3866683.69,5586848.36,-1418931.45,3863528.24
2026-03-21T07:39:41Z,5585033.95,-1413943.62,3867977.61,5581594.72,-1414070.73,3872892.44,5582507.37,-1419092.85,3869738.81
2026-03-21T07:39:42Z,5580688.93,-1414104.01,3874185.39,5577244.44,-1414229.78,3879096.57,5578159.72,-1419252.57,3875944.77
2026-03-21T07:39:43Z,5576337.26,-1414262.7,3880388.56,5572887.49,-1414387.14,3885296.07,5573805.41,-1419410.6,3882146.1
2026-03-21T07:39:44Z,5571978.93,-1414419.71,3886587.09,5568523.91,-1414542.81,3891490.93,5569444.45,-1419566.93,3888342.8
2026-03-21T07:39:45Z,5567613.96,-1414575.03,3892780.99,5564153.68,-1414696.79,3897681.16,5565076.85,-1419721.58,3894534.86
2026-03-21T07:39:46Z,5563242.34,-1414728.65,3898970.25,5559776.81,-1414849.08,3903866.73,5560702.61,-1419874.54,3900722.28
2026-03-21T07:39:47Z,5558864.09,-1414880.59,3905154.85,5555393.31,-1414999.68,3910047.65,5556321.74,-1420025.81,3906905.04
2026-03-21T07:39:48Z,5554479.21,-1415030.84,3911334.8,5551003.18,-1415148.59,3916223.91,5551934.23,-1420175.39,3913083.14
2026-03-21T07:39:49Z,5550087.71,-1415179.4,3917510.08,5546606.43,-1415295.81,3922395.49,5547540.11,-1420323.28,3919256.57
2026-03-21T07:39:50Z,5545689.58,-1415326.27,3923680.69,5542203.07,-1415441.34,3928562.39,5543139.36,-1420469.48,3925425.33
2026-03-21T07:39:51Z,5541284.84,-1415471.45,3929846.62,5537793.1,-1415585.18,3934724.61,5538732,-1420613.99,3931589.4
2026-03-21T07:39:52Z,5536873.49,-1415614.93,3936007.86,5533376.52,-1415727.33,3940882.14,5534318.04,-1420756.81,3937748.79
2026-03-21T07:39:53Z,5532455.53,-1415756.73,3942164.41,5528953.33,-1415867.78,3947034.96,5529897.47,-1420897.93,3943903.47
2026-03-21T07:39:54Z,5528030.98,-1415896.84,3948316.25,5524523.56,-1416006.55,3953183.08,5525470.3,-1421037.37,3950053.45
2026-03-21T07:39:55Z,5523599.83,-1416035.25,3954463.39,5520087.19,-1416143.63,3959326.48,5521036.54,-1421175.11,3956198.72
2026-03-21T07:39:56Z,5519162.09,-1416171.97,3960605.8,5515644.24,-1416279.01,3965465.15,5516596.2,-1421311.17,3962339.27
2026-03-21T07:39:57Z,5514717.77,-1416307.01,3966743.5,5511194.71,-1416412.71,3971599.1,5512149.27,-1421445.53,3968475.09
2026-03-21T07:39:58Z,5510266.87,-1416440.35,3972876.46,5506738.61,-1416544.71,3977728.31,5507695.77,-1421578.2,3974606.17
2026-03-21T07:39:59Z,5505809.39,-1416572,3979004.68,5502275.94,-1416675.02,3983852.78,5503235.7,-1421709.18,3980732.52
2026-03-21T07:40:00Z,5501345.35,-1416701.95,3985128.15,5497806.7,-1416803.63,3989972.49,5498769.06,-1421838.47,3986854.11
2026-03-21T07:40:01Z,5496874.75,-1416830.22,3991246.88,5493330.91,-1416930.56,3996087.44,5494295.86,-1421966.06,3992970.95
2026-03-21T07:40:02Z,5492397.59,-1416956.79,3997360.84,5488848.56,-1417055.79,4002197.63,5489816.11,-1422091.97,3999083.02
2026-03-21T07:40:03Z,5487913.88,-1417081.67,4003470.03,5484359.67,-1417179.33,4008303.05,5485329.81,-1422216.18,4005190.33
2026-03-21T07:40:04Z,5483423.62,-1417204.86,4009574.45,5479864.23,-1417301.18,4014403.68,5480836.96,-1422338.7,4011292.85
2026-03-21T07:40:05Z,5478926.83,-1417326.36,4015674.09,5475362.26,-1417421.34,4020499.52,5476337.58,-1422459.52,4017390.59
2026-03-21T07:40:06Z,5474423.49,-1417446.16,4021768.93,5470853.76,-1417539.8,4026590.57,5471831.66,-1422578.65,4023483.54
2026-03-21T07:40:07Z,5469913.63,-1417564.27,4027858.98,5466338.73,-1417656.57,4032676.82,5467319.21,-1422696.09,4029571.68
2026-03-21T07:40:08Z,5465397.24,-1417680.69,4033944.22,5461817.18,-1417771.65,4038758.25,5462800.25,-1422811.84,4035655.02
2026-03-21T07:40:09Z,5460874.34,-1417795.41,4040024.65,5457289.11,-1417885.03,4044834.87,5458274.76,-1422925.9,4041733.55
2026-03-21T07:40:10Z,5456344.91,-1417908.44,4046100.27,5452754.54,-1417996.72,4050906.66,5453742.76,-1423038.26,4047807.25
2026-03-21T07:40:11Z,5451808.98,-1418019.78,4052171.05,5448213.46,-1418106.72,4056973.62,5449204.26,-1423148.92,4053876.12
2026-03-21T07:40:12Z,5447266.55,-1418129.42,4058237.01,5443665.88,-1418215.02,4063035.74,5444659.25,-1423257.9,4059940.16
2026-03-21T07:40:13Z,5442717.62,-1418237.37,4064298.12,5439111.81,-1418321.63,4069093.02,5440107.75,-1423365.17,4065999.35
2026-03-21T07:40:14Z,5438162.2,-1418343.63,4070354.38,5434551.26,-1418426.54,4075145.44,5435549.76,-1423470.76,4072053.7
2026-03-21T07:40:15Z,5433600.29,-1418448.19,4076405.79,5429984.21,-1418529.76,4081193,5430985.29,-1423574.65,4078103.18
2026-03-21T07:40:16Z,5429031.9,-1418551.06,4082452.34,5425410.7,-1418631.29,4087235.69,5426414.33,-1423676.85,4084147.8
2026-03-21T07:40:17Z,5424457.03,-1418652.23,4088494.01,5420830.71,-1418731.12,4093273.51,5421836.9,-1423777.35,4090187.55
2026-03-21T07:40:18Z,5419875.69,-1418751.71,4094530.81,5416244.25,-1418829.26,4099306.44,5417253.01,-1423876.16,4096222.41
2026-03-21T07:40:19Z,5415287.89,-1418849.49,4100562.73,5411651.33,-1418925.7,4105334.48,5412662.65,-1423973.27,4102252.39
2026-03-21T07:40:20Z,5410693.63,-1418945.58,4106589.75,5407051.96,-1419020.45,4111357.63,5408065.83,-1424068.69,4108277.48
2026-03-21T07:40:21Z,5406092.91,-1419039.98,4112611.88,5402446.14,-1419113.51,4117375.87,5403462.56,-1424162.42,4114297.66
2026-03-21T07:40:22Z,5401485.75,-1419132.68,4118629.1,5397833.87,-1419204.87,4123389.21,5398852.85,-1424254.45,4120312.94
2026-03-21T07:40:23Z,5396872.14,-1419223.69,4124641.41,5393215.17,-1419294.53,4129397.62,5394236.69,-1424344.78,4126323.3
2026-03-21T07:40:24Z,5392252.1,-1419313,4130648.8,5388590.03,-1419382.5,4135401.11,5389614.1,-1424433.42,4132328.74
2026-03-21T07:40:25Z,5387625.62,-1419400.61,4136651.26,5383958.47,-1419468.77,4141399.66,5384985.08,-1424520.37,4138329.25
2026-03-21T07:40:26Z,5382992.72,-1419486.54,4142648.78,5379320.48,-1419553.35,4147393.28,5380349.63,-1424605.62,4144324.82
2026-03-21T07:40:27Z,5378353.39,-1419570.76,4148641.37,5374676.08,-1419636.24,4153381.94,5375707.77,-1424689.17,4150315.44
2026-03-21T07:40:28Z,5373707.65,-1419653.29,4154629,5370025.26,-1419717.42,4159365.66,5371059.49,-1424771.03,4156301.12
2026-03-21T07:40:29Z,5369055.5,-1419734.13,4160611.68,5365368.04,-1419796.92,4165344.41,5366404.81,-1424851.2,4162281.83
2026-03-21T07:40:30Z,5364396.95,-1419813.26,4166589.4,5360704.42,-1419874.71,4171318.19,5361743.72,-1424929.66,4168257.58
2026-03-21T07:40:31Z,5359731.99,-1419890.71,4172562.15,5356034.4,-1419950.81,4177287,5357076.23,-1425006.44,4174228.36
2026-03-21T07:40:32Z,5355060.65,-1419966.45,4178529.92,5351358,-1420025.22,4183250.83,5352402.36,-1425081.51,4180194.16
2026-03-21T07:40:33Z,5350382.91,-1420040.51,4184492.71,5346675.21,-1420097.93,4189209.66,5347722.1,-1425154.89,4186154.97
2026-03-21T07:40:34Z,5345698.79,-1420112.86,4190450.5,5341986.05,-1420168.94,4195163.5,5343035.46,-1425226.58,4192110.79
2026-03-21T07:40:35Z,5341008.3,-1420183.52,4196403.3,5337290.51,-1420238.26,4201112.33,5338342.44,-1425296.56,4198061.6
2026-03-21T07:40:36Z,5336311.44,-1420252.48,4202351.09,5332588.61,-1420305.88,4207056.16,5333643.06,-1425364.86,4204007.41
2026-03-21T07:40:37Z,5331608.21,-1420319.75,4208293.87,5327880.34,-1420371.8,4212994.96,5328937.31,-1425431.45,4209948.2
2026-03-21T07:40:38Z,5326898.62,-1420385.32,4214231.62,5323165.72,-1420436.03,4218928.74,5324225.21,-1425496.35,4215883.97
2026-03-21T07:40:39Z,5322182.68,-1420449.2,4220164.35,5318444.75,-1420498.56,4224857.49,5319506.75,-1425559.55,4221814.71
2026-03-21T07:40:40Z,5317460.38,-1420511.37,4226092.05,5313717.44,-1420559.39,4230781.19,5314781.95,-1425621.06,4227740.41
2026-03-21T07:40:41Z,5312731.75,-1420571.86,4232014.71,5308983.79,-1420618.53,4236699.86,5310050.8,-1425680.87,4233661.07
2026-03-21T07:40:42Z,5307996.78,-1420630.64,4237932.32,5304243.8,-1420675.97,4242613.46,5305313.33,-1425738.98,4239576.68
2026-03-21T07:40:43Z,5303255.47,-1420687.73,4243844.87,5299497.49,-1420731.72,4248522.01,5300569.52,-1425795.4,4245487.23
2026-03-21T07:40:44Z,5298507.85,-1420743.12,4249752.36,5294744.86,-1420785.77,4254425.49,5295819.39,-1425850.12,4251392.71
2026-03-21T07:40:45Z,5293753.9,-1420796.81,4255654.78,5289985.91,-1420838.12,4260323.89,5291062.94,-1425903.14,4257293.12
2026-03-21T07:40:46Z,5288993.63,-1420848.81,4261552.13,5285220.65,-1420888.77,4266217.21,5286300.18,-1425954.47,4263188.46
2026-03-21T07:40:47Z,5284227.06,-1420899.11,4267444.39,5280449.09,-1420937.73,4272105.45,5281531.11,-1426004.1,4269078.71
2026-03-21T07:40:48Z,5279454.18,-1420947.72,4273331.56,5275671.23,-1420984.99,4277988.58,5276755.74,-1426052.03,4274963.86
2026-03-21T07:40:49Z,5274675.01,-1420994.62,4279213.64,5270887.07,-1421030.55,4283866.62,5271974.08,-1426098.26,4280843.91
2026-03-21T07:40:50Z,5269889.54,-1421039.83,4285090.61,5266096.63,-1421074.42,4289739.54,5267186.12,-1426142.8,4286718.86
2026-03-21T07:40:51Z,5265097.79,-1421083.34,4290962.47,5261299.9,-1421116.59,4295607.35,5262391.88,-1426185.64,4292588.7
2026-03-21T07:40:52Z,5260299.76,-1421125.16,4296829.21,5256496.9,-1421157.06,4301470.03,5257591.37,-1426226.78,4298453.41
2026-03-21T07:40:53Z,5255495.46,-1421165.28,4302690.82,5251687.63,-1421195.83,4307327.59,5252784.58,-1426266.23,4304312.99
2026-03-21T07:40:54Z,5250684.88,-1421203.7,4308547.3,5246872.1,-1421232.91,4313180,5247971.53,-1426303.98,4310167.44
2026-03-21T07:40:55Z,5245868.04,-1421240.42,4314398.65,5242050.31,-1421268.29,4319027.27,5243152.21,-1426340.03,4316016.75
2026-03-21T07:40:56Z,5241044.95,-1421275.45,4320244.85,5237222.26,-1421301.97,4324869.39,5238326.64,-1426374.38,4321860.9
2026-03-21T07:40:57Z,5236215.6,-1421308.77,4326085.89,5232387.97,-1421333.96,4330706.35,5233494.82,-1426407.04,4327699.91
2026-03-21T07:40:58Z,5231380,-1421340.41,4331921.77,5227547.44,-1421364.24,4336538.14,5228656.76,-1426438,4333533.74
2026-03-21T07:40:59Z,5226538.17,-1421370.34,4337752.49,5222700.67,-1421392.83,4342364.76,5223812.45,-1426467.26,4339362.41
2026-03-21T07:41:00Z,5221690.1,-1421398.57,4343578.03,5217847.67,-1421419.72,4348186.2,5218961.92,-1426494.82,4345185.9
2026-03-21T07:41:01Z,5216835.81,-1421425.11,4349398.39,5212988.44,-1421444.92,4354002.46,5214105.16,-1426520.69,4351004.21
2026-03-21T07:41:02Z,5211975.29,-1421449.95,4355213.56,5208123,-1421468.41,4359813.52,5209242.18,-1426544.86,4356817.33
2026-03-21T07:41:03Z,5207108.55,-1421473.1,4361023.54,5203251.35,-1421490.21,4365619.38,5204372.98,-1426567.33,4362625.25
2026-03-21T07:41:04Z,5202235.6,-1421494.54,4366828.32,5198373.49,-1421510.31,4371420.03,5199497.58,-1426588.1,4368427.96
2026-03-21T07:41:05Z,5197356.45,-1421514.29,4372627.88,5193489.42,-1421528.72,4377215.47,5194615.97,-1426607.18,4374225.46
2026-03-21T07:41:06Z,5192471.1,-1421532.34,4378422.24,5188599.17,-1421545.42,4383005.68,5189728.17,-1426624.56,4380017.75
2026-03-21T07:41:07Z,5187579.55,-1421548.69,4384211.36,5183702.72,-1421560.43,4388790.67,5184834.17,-1426640.24,4385804.81
2026-03-21T07:41:08Z,5182681.81,-1421563.34,4389995.26,5178800.09,-1421573.74,4394570.43,5179933.99,-1426654.22,4391586.63
2026-03-21T07:41:09Z,5177777.9,-1421576.3,4395773.92,5173891.29,-1421585.35,4400344.94,5175027.63,-1426666.5,4397363.22
2026-03-21T07:41:10Z,5172867.81,-1421587.56,4401547.34,5168976.31,-1421595.27,4406114.2,5170115.09,-1426677.09,4403134.56
2026-03-21T07:41:11Z,5167951.54,-1421597.12,4407315.51,5164055.16,-1421603.48,4411878.21,5165196.39,-1426685.98,4408900.65
2026-03-21T07:41:12Z,5163029.11,-1421604.98,4413078.42,5159127.86,-1421610,4417636.95,5160271.52,-1426693.17,4414661.48
2026-03-21T07:41:13Z,5158100.53,-1421611.15,4418836.07,5154194.4,-1421614.82,4423390.43,5155340.5,-1426698.66,4420417.04
2026-03-21T07:41:14Z,5153165.79,-1421615.61,4424588.45,5149254.8,-1421617.95,4429138.63,5150403.33,-1426702.46,4426167.32
2026-03-21T07:41:15Z,5148224.9,-1421618.38,4430335.55,5144309.05,-1421619.37,4434881.54,5145460.01,-1426704.55,4431912.33
