time_utc,triangle_area_m2,triangle_aspect_ratio,side_length_1_m,side_length_2_m,side_length_3_m
2026-03-21T07:38:40Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:41Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:42Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:43Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:44Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:45Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:46Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:47Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:48Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:49Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:50Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:51Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:52Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:53Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:54Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:55Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:56Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:57Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:58Z,15588457.3,1,6000,6000,6000
2026-03-21T07:38:59Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:00Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:01Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:02Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:03Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:04Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:05Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:06Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:07Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:08Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:09Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:10Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:11Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:12Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:13Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:14Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:15Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:16Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:17Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:18Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:19Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:20Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:21Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:22Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:23Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:24Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:25Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:26Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:27Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:28Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:29Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:30Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:31Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:32Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:33Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:34Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:35Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:36Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:37Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:38Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:39Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:40Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:41Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:42Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:43Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:44Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:45Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:46Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:47Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:48Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:49Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:50Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:51Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:52Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:53Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:54Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:55Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:56Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:57Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:58Z,15588457.3,1,6000,6000,6000
2026-03-21T07:39:59Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:00Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:01Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:02Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:03Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:04Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:05Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:06Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:07Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:08Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:09Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:10Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:11Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:12Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:13Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:14Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:15Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:16Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:17Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:18Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:19Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:20Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:21Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:22Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:23Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:24Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:25Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:26Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:27Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:28Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:29Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:30Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:31Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:32Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:33Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:34Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:35Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:36Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:37Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:38Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:39Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:40Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:41Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:42Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:43Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:44Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:45Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:46Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:47Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:48Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:49Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:50Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:51Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:52Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:53Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:54Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:55Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:56Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:57Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:58Z,15588457.3,1,6000,6000,6000
2026-03-21T07:40:59Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:00Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:01Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:02Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:03Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:04Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:05Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:06Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:07Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:08Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:09Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:10Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:11Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:12Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:13Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:14Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:15Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:16Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:17Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:18Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:19Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:20Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:21Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:22Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:23Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:24Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:25Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:26Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:27Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:28Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:29Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:30Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:31Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:32Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:33Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:34Z,15588457.3,1,6000,6000,6000
2026-03-21T07:41:35Z,15588457.3,1,6000,6000,6000
