time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,566799.317,566226.226,566510.627
2026-03-21T07:38:41Z,566816.138,566249.592,566530.715
2026-03-21T07:38:42Z,566832.983,566272.981,566550.828
2026-03-21T07:38:43Z,566849.852,566296.395,566570.965
2026-03-21T07:38:44Z,566866.744,566319.833,566591.126
2026-03-21T07:38:45Z,566883.66,566343.296,566611.311
2026-03-21T07:38:46Z,566900.599,566366.782,566631.519
2026-03-21T07:38:47Z,566917.562,566390.293,566651.752
2026-03-21T07:38:48Z,566934.548,566413.827,566672.008
2026-03-21T07:38:49Z,566951.557,566437.385,566692.287
2026-03-21T07:38:50Z,566968.589,566460.967,566712.59
2026-03-21T07:38:51Z,566985.645,566484.572,566732.916
2026-03-21T07:38:52Z,567002.723,566508.201,566753.265
2026-03-21T07:38:53Z,567019.825,566531.853,566773.638
2026-03-21T07:38:54Z,567036.949,566555.528,566794.033
2026-03-21T07:38:55Z,567054.096,566579.227,566814.452
2026-03-21T07:38:56Z,567071.265,566602.948,566834.893
2026-03-21T07:38:57Z,567088.457,566626.693,566855.357
2026-03-21T07:38:58Z,567105.671,566650.46,566875.843
2026-03-21T07:38:59Z,567122.907,566674.25,566896.352
2026-03-21T07:39:00Z,567140.166,566698.063,566916.884
2026-03-21T07:39:01Z,567157.447,566721.899,566937.438
2026-03-21T07:39:02Z,567174.75,566745.756,566958.014
2026-03-21T07:39:03Z,567192.075,566769.636,566978.612
2026-03-21T07:39:04Z,567209.421,566793.539,566999.232
2026-03-21T07:39:05Z,567226.789,566817.463,567019.875
2026-03-21T07:39:06Z,567244.179,566841.41,567040.539
2026-03-21T07:39:07Z,567261.591,566865.378,567061.225
2026-03-21T07:39:08Z,567279.024,566889.369,567081.932
2026-03-21T07:39:09Z,567296.478,566913.381,567102.661
2026-03-21T07:39:10Z,567313.954,566937.414,567123.411
2026-03-21T07:39:11Z,567331.45,566961.469,567144.183
2026-03-21T07:39:12Z,567348.968,566985.546,567164.976
2026-03-21T07:39:13Z,567366.507,567009.644,567185.79
2026-03-21T07:39:14Z,567384.066,567033.763,567206.625
2026-03-21T07:39:15Z,567401.647,567057.903,567227.481
2026-03-21T07:39:16Z,567419.248,567082.064,567248.358
2026-03-21T07:39:17Z,567436.869,567106.246,567269.256
2026-03-21T07:39:18Z,567454.511,567130.449,567290.174
2026-03-21T07:39:19Z,567472.174,567154.672,567311.113
2026-03-21T07:39:20Z,567489.857,567178.916,567332.073
2026-03-21T07:39:21Z,567507.56,567203.181,567353.052
2026-03-21T07:39:22Z,567525.283,567227.466,567374.052
2026-03-21T07:39:23Z,567543.026,567251.771,567395.072
2026-03-21T07:39:24Z,567560.789,567276.096,567416.112
2026-03-21T07:39:25Z,567578.571,567300.441,567437.172
2026-03-21T07:39:26Z,567596.374,567324.807,567458.252
2026-03-21T07:39:27Z,567614.196,567349.192,567479.352
2026-03-21T07:39:28Z,567632.038,567373.597,567500.471
2026-03-21T07:39:29Z,567649.899,567398.021,567521.61
2026-03-21T07:39:30Z,567667.779,567422.465,567542.768
2026-03-21T07:39:31Z,567685.679,567446.929,567563.945
2026-03-21T07:39:32Z,567703.597,567471.411,567585.142
2026-03-21T07:39:33Z,567721.535,567495.913,567606.358
2026-03-21T07:39:34Z,567739.492,567520.434,567627.593
2026-03-21T07:39:35Z,567757.467,567544.975,567648.847
2026-03-21T07:39:36Z,567775.461,567569.534,567670.119
2026-03-21T07:39:37Z,567793.474,567594.111,567691.411
2026-03-21T07:39:38Z,567811.506,567618.708,567712.72
2026-03-21T07:39:39Z,567829.556,567643.323,567734.049
2026-03-21T07:39:40Z,567847.624,567667.956,567755.396
2026-03-21T07:39:41Z,567865.71,567692.608,567776.761
2026-03-21T07:39:42Z,567883.815,567717.278,567798.144
2026-03-21T07:39:43Z,567901.938,567741.966,567819.546
2026-03-21T07:39:44Z,567920.078,567766.673,567840.965
2026-03-21T07:39:45Z,567938.237,567791.397,567862.403
2026-03-21T07:39:46Z,567956.413,567816.139,567883.858
2026-03-21T07:39:47Z,567974.607,567840.899,567905.331
2026-03-21T07:39:48Z,567992.818,567865.676,567926.821
2026-03-21T07:39:49Z,568011.047,567890.471,567948.329
2026-03-21T07:39:50Z,568029.293,567915.283,567969.855
2026-03-21T07:39:51Z,568047.557,567940.113,567991.397
2026-03-21T07:39:52Z,568065.837,567964.959,568012.957
2026-03-21T07:39:53Z,568084.135,567989.823,568034.534
2026-03-21T07:39:54Z,568102.45,568014.704,568056.128
2026-03-21T07:39:55Z,568120.781,568039.602,568077.739
2026-03-21T07:39:56Z,568139.129,568064.516,568099.366
2026-03-21T07:39:57Z,568157.494,568089.447,568121.01
2026-03-21T07:39:58Z,568175.876,568114.395,568142.671
2026-03-21T07:39:59Z,568194.274,568139.359,568164.348
2026-03-21T07:40:00Z,568212.688,568164.339,568186.042
2026-03-21T07:40:01Z,568231.118,568189.336,568207.752
2026-03-21T07:40:02Z,568249.565,568214.348,568229.477
2026-03-21T07:40:03Z,568268.028,568239.377,568251.219
2026-03-21T07:40:04Z,568286.507,568264.421,568272.977
2026-03-21T07:40:05Z,568305.001,568289.482,568294.751
2026-03-21T07:40:06Z,568323.512,568314.558,568316.54
2026-03-21T07:40:07Z,568342.038,568339.649,568338.345
2026-03-21T07:40:08Z,568360.579,568364.756,568360.166
2026-03-21T07:40:09Z,568379.136,568389.879,568382.002
2026-03-21T07:40:10Z,568397.709,568415.016,568403.853
2026-03-21T07:40:11Z,568416.296,568440.169,568425.72
2026-03-21T07:40:12Z,568434.899,568465.337,568447.601
2026-03-21T07:40:13Z,568453.517,568490.52,568469.498
2026-03-21T07:40:14Z,568472.15,568515.717,568491.409
2026-03-21T07:40:15Z,568490.797,568540.929,568513.336
2026-03-21T07:40:16Z,568509.46,568566.156,568535.276
2026-03-21T07:40:17Z,568528.137,568591.397,568557.232
2026-03-21T07:40:18Z,568546.829,568616.653,568579.202
2026-03-21T07:40:19Z,568565.535,568641.923,568601.186
2026-03-21T07:40:20Z,568584.255,568667.207,568623.185
2026-03-21T07:40:21Z,568602.99,568692.505,568645.198
2026-03-21T07:40:22Z,568621.739,568717.817,568667.224
2026-03-21T07:40:23Z,568640.501,568743.143,568689.265
2026-03-21T07:40:24Z,568659.278,568768.483,568711.32
2026-03-21T07:40:25Z,568678.069,568793.836,568733.388
2026-03-21T07:40:26Z,568696.873,568819.202,568755.47
2026-03-21T07:40:27Z,568715.691,568844.582,568777.565
2026-03-21T07:40:28Z,568734.523,568869.976,568799.674
2026-03-21T07:40:29Z,568753.368,568895.382,568821.796
2026-03-21T07:40:30Z,568772.226,568920.802,568843.931
2026-03-21T07:40:31Z,568791.097,568946.234,568866.08
2026-03-21T07:40:32Z,568809.982,568971.68,568888.241
2026-03-21T07:40:33Z,568828.88,568997.138,568910.416
2026-03-21T07:40:34Z,568847.79,569022.608,568932.603
2026-03-21T07:40:35Z,568866.714,569048.091,568954.802
2026-03-21T07:40:36Z,568885.65,569073.587,568977.015
2026-03-21T07:40:37Z,568904.599,569099.095,568999.239
2026-03-21T07:40:38Z,568923.56,569124.615,569021.477
2026-03-21T07:40:39Z,568942.533,569150.147,569043.726
2026-03-21T07:40:40Z,568961.519,569175.691,569065.987
2026-03-21T07:40:41Z,568980.518,569201.247,569088.261
2026-03-21T07:40:42Z,568999.528,569226.814,569110.546
2026-03-21T07:40:43Z,569018.55,569252.393,569132.844
2026-03-21T07:40:44Z,569037.584,569277.984,569155.153
2026-03-21T07:40:45Z,569056.63,569303.586,569177.473
2026-03-21T07:40:46Z,569075.688,569329.2,569199.805
2026-03-21T07:40:47Z,569094.757,569354.824,569222.149
2026-03-21T07:40:48Z,569113.838,569380.46,569244.503
2026-03-21T07:40:49Z,569132.93,569406.107,569266.869
2026-03-21T07:40:50Z,569152.033,569431.764,569289.246
2026-03-21T07:40:51Z,569171.148,569457.432,569311.634
2026-03-21T07:40:52Z,569190.273,569483.111,569334.033
2026-03-21T07:40:53Z,569209.41,569508.8,569356.443
2026-03-21T07:40:54Z,569228.557,569534.5,569378.863
2026-03-21T07:40:55Z,569247.716,569560.21,569401.294
2026-03-21T07:40:56Z,569266.884,569585.93,569423.735
2026-03-21T07:40:57Z,569286.064,569611.66,569446.186
2026-03-21T07:40:58Z,569305.254,569637.401,569468.648
2026-03-21T07:40:59Z,569324.454,569663.151,569491.12
2026-03-21T07:41:00Z,569343.664,569688.911,569513.602
2026-03-21T07:41:01Z,569362.885,569714.68,569536.093
2026-03-21T07:41:02Z,569382.116,569740.459,569558.595
2026-03-21T07:41:03Z,569401.356,569766.247,569581.106
2026-03-21T07:41:04Z,569420.607,569792.045,569603.627
2026-03-21T07:41:05Z,569439.867,569817.852,569626.157
2026-03-21T07:41:06Z,569459.137,569843.667,569648.696
2026-03-21T07:41:07Z,569478.416,569869.492,569671.245
2026-03-21T07:41:08Z,569497.705,569895.326,569693.803
2026-03-21T07:41:09Z,569517.003,569921.168,569716.37
2026-03-21T07:41:10Z,569536.31,569947.019,569738.946
2026-03-21T07:41:11Z,569555.626,569972.879,569761.53
2026-03-21T07:41:12Z,569574.951,569998.746,569784.124
2026-03-21T07:41:13Z,569594.286,570024.623,569806.726
2026-03-21T07:41:14Z,569613.629,570050.507,569829.336
2026-03-21T07:41:15Z,569632.98,570076.399,569851.955
2026-03-21T07:41:16Z,569652.34,570102.299,569874.582
2026-03-21T07:41:17Z,569671.709,570128.208,569897.217
2026-03-21T07:41:18Z,569691.086,570154.123,569919.86
2026-03-21T07:41:19Z,569710.472,570180.047,569942.512
2026-03-21T07:41:20Z,569729.865,570205.978,569965.171
2026-03-21T07:41:21Z,569749.267,570231.916,569987.838
2026-03-21T07:41:22Z,569768.676,570257.862,570010.512
2026-03-21T07:41:23Z,569788.094,570283.815,570033.194
2026-03-21T07:41:24Z,569807.519,570309.774,570055.883
2026-03-21T07:41:25Z,569826.952,570335.741,570078.58
2026-03-21T07:41:26Z,569846.392,570361.715,570101.284
2026-03-21T07:41:27Z,569865.84,570387.695,570123.995
2026-03-21T07:41:28Z,569885.295,570413.682,570146.713
2026-03-21T07:41:29Z,569904.757,570439.675,570169.437
2026-03-21T07:41:30Z,569924.226,570465.675,570192.169
2026-03-21T07:41:31Z,569943.703,570491.681,570214.907
2026-03-21T07:41:32Z,569963.186,570517.693,570237.652
2026-03-21T07:41:33Z,569982.676,570543.711,570260.403
2026-03-21T07:41:34Z,570002.173,570569.735,570283.16
2026-03-21T07:41:35Z,570021.677,570595.765,570305.924
2026-03-21T07:41:36Z,570041.186,570621.801,570328.693
2026-03-21T07:41:37Z,570060.703,570647.842,570351.469
2026-03-21T07:41:38Z,570080.225,570673.888,570374.251
2026-03-21T07:41:39Z,570099.754,570699.94,570397.038
2026-03-21T07:41:40Z,570119.289,570725.998,570419.831
