time_utc,SAT-1_vx_mps,SAT-1_vy_mps,SAT-1_vz_mps,SAT-2_vx_mps,SAT-2_vy_mps,SAT-2_vz_mps,SAT-3_vx_mps,SAT-3_vy_mps,SAT-3_vz_mps
2026-03-21T07:38:40Z,-3928.54531,-262.947725,6475.64763,-3928.85208,-262.976426,6476.21303,-3928.78519,-263.507194,6475.85568
2026-03-21T07:38:41Z,-3935.50563,-261.276484,6471.49179,-3935.80989,-261.304658,6472.05044,-3935.7433,-261.829652,6471.6973
2026-03-21T07:38:42Z,-3942.46126,-259.604929,6467.32823,-3942.763,-259.632581,6467.88013,-3942.69671,-260.151797,6467.53119
2026-03-21T07:38:43Z,-3949.4122,-257.933063,6463.15695,-3949.71139,-257.960196,6463.70211,-3949.64541,-258.473633,6463.35737
2026-03-21T07:38:44Z,-3956.35843,-256.260886,6458.97796,-3956.65506,-256.287506,6459.51639,-3956.58941,-256.79516,6459.17583
2026-03-21T07:38:45Z,-3963.29996,-254.588402,6454.79126,-3963.594,-254.614512,6455.32296,-3963.52868,-255.116381,6454.9866
2026-03-21T07:38:46Z,-3970.23677,-252.915611,6450.59685,-3970.5282,-252.941218,6451.12184,-3970.46323,-253.437297,6450.78966
2026-03-21T07:38:47Z,-3977.16885,-251.242516,6446.39474,-3977.45766,-251.267623,6446.91303,-3977.39304,-251.757911,6446.58503
2026-03-21T07:38:48Z,-3984.0962,-249.56912,6442.18493,-3984.38235,-249.593732,6442.69654,-3984.31811,-250.078225,6442.37271
2026-03-21T07:38:49Z,-3991.01881,-247.895423,6437.96744,-3991.30229,-247.919545,6438.47236,-3991.23842,-248.398241,6438.1527
2026-03-21T07:38:50Z,-3997.93667,-246.221428,6433.74226,-3998.21745,-246.245064,6434.24051,-3998.15397,-246.71796,6433.92501
2026-03-21T07:38:51Z,-4004.84977,-244.547138,6429.5094,-4005.12784,-244.570292,6430.00099,-4005.06476,-245.037385,6429.68965
2026-03-21T07:38:52Z,-4011.7581,-242.872553,6425.26887,-4012.03344,-242.895231,6425.7538,-4011.97076,-243.356517,6425.44661
2026-03-21T07:38:53Z,-4018.66165,-241.197676,6421.02067,-4018.93424,-241.219882,6421.49895,-4018.87198,-241.67536,6421.19592
2026-03-21T07:38:54Z,-4025.56043,-239.522509,6416.7648,-4025.83023,-239.544248,6417.23645,-4025.7684,-239.993914,6416.93756
2026-03-21T07:38:55Z,-4032.45441,-237.847054,6412.50127,-4032.72142,-237.868331,6412.9663,-4032.66003,-238.312181,6412.67155
2026-03-21T07:38:56Z,-4039.34359,-236.171313,6408.23009,-4039.60778,-236.192132,6408.6885,-4039.54684,-236.630165,6408.39789
2026-03-21T07:38:57Z,-4046.22796,-234.495288,6403.95126,-4046.48931,-234.515653,6404.40306,-4046.42883,-234.947866,6404.11658
2026-03-21T07:38:58Z,-4053.10752,-232.818981,6399.66478,-4053.36601,-232.838897,6400.10999,-4053.306,-233.265287,6399.82764
2026-03-21T07:38:59Z,-4059.98225,-231.142393,6395.37066,-4060.23786,-231.161866,6395.80929,-4060.17833,-231.582429,6395.53106
2026-03-21T07:39:00Z,-4066.85215,-229.465528,6391.06891,-4067.10486,-229.484562,6391.50097,-4067.04582,-229.899296,6391.22685
2026-03-21T07:39:01Z,-4073.7172,-227.788387,6386.75954,-4073.96699,-227.806986,6387.18502,-4073.90846,-228.215888,6386.91501
2026-03-21T07:39:02Z,-4080.57741,-226.110971,6382.44253,-4080.82426,-226.12914,6382.86147,-4080.76623,-226.532208,6382.59556
2026-03-21T07:39:03Z,-4087.43276,-224.433284,6378.11791,-4087.67664,-224.451027,6378.5303,-4087.61914,-224.848257,6378.2685
2026-03-21T07:39:04Z,-4094.28325,-222.755326,6373.78567,-4094.52414,-222.772649,6374.19153,-4094.46717,-223.164039,6373.93382
2026-03-21T07:39:05Z,-4101.12886,-221.0771,6369.44583,-4101.36675,-221.094007,6369.84516,-4101.31032,-221.479554,6369.59154
2026-03-21T07:39:06Z,-4107.96958,-219.398609,6365.09838,-4108.20446,-219.415104,6365.4912,-4108.14858,-219.794805,6365.24167
2026-03-21T07:39:07Z,-4114.80542,-217.719853,6360.74333,-4115.03725,-217.735942,6361.12965,-4114.98194,-218.109794,6360.8842
2026-03-21T07:39:08Z,-4121.63636,-216.040835,6356.38069,-4121.86512,-216.056522,6356.76052,-4121.81038,-216.424522,6356.51914
2026-03-21T07:39:09Z,-4128.4624,-214.361557,6352.01047,-4128.68807,-214.376847,6352.38381,-4128.63391,-214.738993,6352.1465
2026-03-21T07:39:10Z,-4135.28351,-212.682021,6347.63266,-4135.50608,-212.696918,6347.99953,-4135.45252,-213.053207,6347.76629
2026-03-21T07:39:11Z,-4142.09971,-211.002229,6343.24727,-4142.31915,-211.016738,6343.60768,-4142.26619,-211.367167,6343.3785
2026-03-21T07:39:12Z,-4148.91097,-209.322183,6338.85431,-4149.12727,-209.336309,6339.20827,-4149.07492,-209.680875,6338.98314
2026-03-21T07:39:13Z,-4155.7173,-207.641885,6334.45378,-4155.93043,-207.655632,6334.8013,-4155.8787,-207.994333,6334.58022
2026-03-21T07:39:14Z,-4162.51868,-205.961337,6330.04569,-4162.72862,-205.97471,6330.38679,-4162.67752,-206.307543,6330.16975
2026-03-21T07:39:15Z,-4169.3151,-204.28054,6325.63004,-4169.52183,-204.293545,6325.96472,-4169.47138,-204.620507,6325.75172
2026-03-21T07:39:16Z,-4176.10656,-202.599498,6321.20685,-4176.31006,-202.612138,6321.53512,-4176.26027,-202.933226,6321.32615
2026-03-21T07:39:17Z,-4182.89305,-200.918212,6316.7761,-4183.0933,-200.930492,6317.09798,-4183.04417,-201.245704,6316.89304
2026-03-21T07:39:18Z,-4189.67455,-199.236683,6312.33782,-4189.87154,-199.248609,6312.65331,-4189.82308,-199.557941,6312.45239
2026-03-21T07:39:19Z,-4196.45107,-197.554915,6307.892,-4196.64477,-197.56649,6308.20112,-4196.59699,-197.869941,6308.00421
2026-03-21T07:39:20Z,-4203.2226,-195.872908,6303.43865,-4203.41299,-195.884138,6303.74141,-4203.3659,-196.181704,6303.54851
2026-03-21T07:39:21Z,-4209.98912,-194.190666,6298.97777,-4210.17618,-194.201555,6299.27418,-4210.1298,-194.493233,6299.08529
2026-03-21T07:39:22Z,-4216.75063,-192.50819,6294.50937,-4216.93434,-192.518742,6294.79944,-4216.88867,-192.804531,6294.61455
2026-03-21T07:39:23Z,-4223.50711,-190.825481,6290.03346,-4223.68745,-190.835702,6290.31721,-4223.64251,-191.115598,6290.13631
2026-03-21T07:39:24Z,-4230.25857,-189.142543,6285.55004,-4230.43552,-189.152437,6285.82747,-4230.39131,-189.426437,6285.65056
2026-03-21T07:39:25Z,-4237.00499,-187.459376,6281.05912,-4237.17854,-187.468949,6281.33024,-4237.13507,-187.737051,6281.15731
2026-03-21T07:39:26Z,-4243.74637,-185.775984,6276.5607,-4243.91649,-185.785239,6276.82553,-4243.87377,-186.04744,6276.65657
2026-03-21T07:39:27Z,-4250.4827,-184.092367,6272.05478,-4250.64936,-184.10131,6272.31333,-4250.60741,-184.357608,6272.14835
2026-03-21T07:39:28Z,-4257.21396,-182.408529,6267.54138,-4257.37716,-182.417164,6267.79365,-4257.33598,-182.667555,6267.63264
2026-03-21T07:39:29Z,-4263.94016,-180.72447,6263.0205,-4264.09987,-180.732802,6263.26651,-4264.05947,-180.977285,6263.10945
2026-03-21T07:39:30Z,-4270.66128,-179.040194,6258.49213,-4270.81748,-179.048228,6258.7319,-4270.77788,-179.286799,6258.5788
2026-03-21T07:39:31Z,-4277.37732,-177.355702,6253.9563,-4277.52999,-177.363442,6254.18983,-4277.49119,-177.596098,6254.04068
2026-03-21T07:39:32Z,-4284.08826,-175.670996,6249.413,-4284.23738,-175.678447,6249.64031,-4284.19939,-175.905187,6249.49509
2026-03-21T07:39:33Z,-4290.7941,-173.986078,6244.86224,-4290.93966,-173.993245,6245.08333,-4290.90249,-174.214065,6244.94206
2026-03-21T07:39:34Z,-4297.49483,-172.30095,6240.30402,-4297.6368,-172.307837,6240.51891,-4297.60047,-172.522735,6240.38157
2026-03-21T07:39:35Z,-4304.19045,-170.615614,6235.73835,-4304.32881,-170.622226,6235.94706,-4304.29332,-170.8312,6235.81364
2026-03-21T07:39:36Z,-4310.88094,-168.930072,6231.16524,-4311.01568,-168.936415,6231.36777,-4310.98104,-169.139461,6231.23827
2026-03-21T07:39:37Z,-4317.5663,-167.244326,6226.58469,-4317.69739,-167.250404,6226.78106,-4317.66361,-167.44752,6226.65547
2026-03-21T07:39:38Z,-4324.24652,-165.558378,6221.99671,-4324.37395,-165.564196,6222.18692,-4324.34104,-165.755379,6222.06523
2026-03-21T07:39:39Z,-4330.92159,-163.872231,6217.40129,-4331.04533,-163.877793,6217.58537,-4331.0133,-164.063041,6217.46758
2026-03-21T07:39:40Z,-4337.5915,-162.185885,6212.79846,-4337.71154,-162.191196,6212.9764,-4337.6804,-162.370506,6212.86251
2026-03-21T07:39:41Z,-4344.25625,-160.499344,6208.1882,-4344.37256,-160.504409,6208.36003,-4344.34232,-160.677779,6208.25003
2026-03-21T07:39:42Z,-4350.91583,-158.812609,6203.57054,-4351.0284,-158.817432,6203.73626,-4350.99907,-158.984859,6203.63014
2026-03-21T07:39:43Z,-4357.57022,-157.125682,6198.94547,-4357.67903,-157.130269,6199.1051,-4357.65062,-157.29175,6199.00286
2026-03-21T07:39:44Z,-4364.21943,-155.438566,6194.31299,-4364.32445,-155.44292,6194.46655,-4364.29697,-155.598453,6194.36817
2026-03-21T07:39:45Z,-4370.86344,-153.751261,6189.67313,-4370.96466,-153.755389,6189.82061,-4370.93812,-153.904971,6189.7261
2026-03-21T07:39:46Z,-4377.50225,-152.063771,6185.02587,-4377.59965,-152.067676,6185.1673,-4377.57405,-152.211305,6185.07665
2026-03-21T07:39:47Z,-4384.13584,-150.376097,6180.37123,-4384.2294,-150.379784,6180.50662,-4384.20476,-150.517457,6180.41982
2026-03-21T07:39:48Z,-4390.76421,-148.688241,6175.7092,-4390.85391,-148.691716,6175.83857,-4390.83025,-148.82343,6175.75561
2026-03-21T07:39:49Z,-4397.38736,-147.000205,6171.03981,-4397.47318,-147.003472,6171.16316,-4397.45049,-147.129226,6171.08404
2026-03-21T07:39:50Z,-4404.00527,-145.311992,6166.36305,-4404.08719,-145.315055,6166.48039,-4404.06549,-145.434845,6166.4051
2026-03-21T07:39:51Z,-4410.61793,-143.623603,6161.67892,-4410.69594,-143.626468,6161.79027,-4410.67523,-143.740292,6161.71881
2026-03-21T07:39:52Z,-4417.22535,-141.93504,6156.98744,-4417.29942,-141.937711,6157.09281,-4417.27972,-142.045567,6157.02517
2026-03-21T07:39:53Z,-4423.8275,-140.246306,6152.28861,-4423.89762,-140.248787,6152.38802,-4423.87893,-140.350672,6152.32419
2026-03-21T07:39:54Z,-4430.42439,-138.557401,6147.58243,-4430.49053,-138.559699,6147.67589,-4430.47287,-138.65561,6147.61587
