time_utc,SAT-1,SAT-2,SAT-3
2026-03-21T07:38:40Z,566504.451969207,566520.238772757,566510.210805538
2026-03-21T07:38:41Z,566524.509003115,566540.317413129,566530.27409606
2026-03-21T07:38:42Z,566544.591041535,566560.420954973,566550.362347735
2026-03-21T07:38:43Z,566564.697977449,566580.549291166,566570.475453518
2026-03-21T07:38:44Z,566584.829703704,566600.702314452,566590.613306226
2026-03-21T07:38:45Z,566604.986113015,566620.87991745,566610.775798548
2026-03-21T07:38:46Z,566625.167097983,566641.081992655,566630.962823056
2026-03-21T07:38:47Z,566645.372551078,566661.308432435,566651.174272185
2026-03-21T07:38:48Z,566665.60236464,566681.559129024,566671.410038255
2026-03-21T07:38:49Z,566685.856430885,566701.83397455,566691.670013455
2026-03-21T07:38:50Z,566706.134641909,566722.132860998,566711.954089848
2026-03-21T07:38:51Z,566726.436889681,566742.455680244,566732.262159379
2026-03-21T07:38:52Z,566746.763066044,566762.802324031,566752.594113866
2026-03-21T07:38:53Z,566767.113062722,566783.172683984,566772.949845001
2026-03-21T07:38:54Z,566787.486771315,566803.566651604,566793.329244361
2026-03-21T07:38:55Z,566807.884083306,566823.984118276,566813.7322034
2026-03-21T07:38:56Z,566828.304890045,566844.424975255,566834.158613443
2026-03-21T07:38:57Z,566848.749082772,566864.889113681,566854.608365704
2026-03-21T07:38:58Z,566869.216552601,566885.376424577,566875.081351269
2026-03-21T07:38:59Z,566889.707190528,566905.886798837,566895.577461115
2026-03-21T07:39:00Z,566910.220887431,566926.42012725,566916.096586086
2026-03-21T07:39:01Z,566930.757534066,566946.976300474,566936.638616917
2026-03-21T07:39:02Z,566951.317021077,566967.555209057,566957.203444227
2026-03-21T07:39:03Z,566971.899238986,566988.156743431,566977.790958513
2026-03-21T07:39:04Z,566992.504078196,567008.780793898,566998.401050152
2026-03-21T07:39:05Z,567013.131428996,567029.427250665,567019.033609412
2026-03-21T07:39:06Z,567033.781181562,567050.096003809,567039.68852644
2026-03-21T07:39:07Z,567054.453225949,567070.78694329,567060.365691269
2026-03-21T07:39:08Z,567075.147452102,567091.499958967,567081.064993818
2026-03-21T07:39:09Z,567095.863749848,567112.23494057,567101.786323897
2026-03-21T07:39:10Z,567116.602008903,567132.991777731,567122.529571192
2026-03-21T07:39:11Z,567137.362118871,567153.770359957,567143.294625284
2026-03-21T07:39:12Z,567158.143969236,567174.570576644,567164.081375637
2026-03-21T07:39:13Z,567178.947449381,567195.392317087,567184.889711604
2026-03-21T07:39:14Z,567199.772448564,567216.235470461,567205.719522431
2026-03-21T07:39:15Z,567220.618855945,567237.099925827,567226.570697246
2026-03-21T07:39:16Z,567241.486560565,567257.985572143,567247.443125074
2026-03-21T07:39:17Z,567262.375451363,567278.892298254,567268.336694826
2026-03-21T07:39:18Z,567283.285417158,567299.819992902,567289.251295303
2026-03-21T07:39:19Z,567304.216346667,567320.768544717,567310.186815202
2026-03-21T07:39:20Z,567325.168128501,567341.737842215,567331.143143108
2026-03-21T07:39:21Z,567346.140651157,567362.727773808,567352.120167498
2026-03-21T07:39:22Z,567367.133803027,567383.738227786,567373.117776748
2026-03-21T07:39:23Z,567388.147472401,567404.769092389,567394.135859112
2026-03-21T07:39:24Z,567409.181547459,567425.820255705,567415.174302763
2026-03-21T07:39:25Z,567430.235916264,567446.891605722,567436.232995732
2026-03-21T07:39:26Z,567451.310466839,567467.983030319,567457.311826015
2026-03-21T07:39:27Z,567472.405086967,567489.094417279,567478.410681424
2026-03-21T07:39:28Z,567493.519664445,567510.225654278,567499.529449701
2026-03-21T07:39:29Z,567514.654086948,567531.376628898,567520.668018486
2026-03-21T07:39:30Z,567535.808242013,567552.547228615,567541.826275322
2026-03-21T07:39:31Z,567556.982017099,567573.737340796,567563.004107637
2026-03-21T07:39:32Z,567578.175299555,567594.946852712,567584.201402765
2026-03-21T07:39:33Z,567599.387976639,567616.175651536,567605.418047939
2026-03-21T07:39:34Z,567620.619935497,567637.423624338,567626.653930292
2026-03-21T07:39:35Z,567641.871063179,567658.690658092,567647.908936854
2026-03-21T07:39:36Z,567663.141246639,567679.976639668,567669.182954556
2026-03-21T07:39:37Z,567684.430372726,567701.281455838,567690.475870234
2026-03-21T07:39:38Z,567705.738328195,567722.604993283,567711.787570629
