sample_id,density_scale,drag_coefficient,ballistic_coefficient_m2_per_kg,semi_major_axis_delta_m,altitude_delta_m,along_track_shift_km,ground_distance_delta_km,command_distance_delta_km,within_tolerance
0,0.9580531768655194,2.25915116241895,0.006666666666666667,-0.02210826985538006,-0.02210826985538006,0.002500386392351511,0.0003350172347829839,0.002500386392351511,True
1,0.8774167208939172,2.0286407627854386,0.006666666666666667,-0.01818154938519001,-0.01818154938519001,0.0020562847039610767,0.00027551374361772666,0.0020562847039610767,True
2,0.6837918396277249,2.2146919305812416,0.006666666666666667,-0.01546881627291441,-0.01546881627291441,0.0017494818424583286,0.00023440639852955687,0.0017494818424583286,True
3,0.7766056495221438,2.2230785319382207,0.006666666666666667,-0.017634988762438297,-0.017634988762438297,0.001994470133973499,0.0002672314451818191,0.001994470133973499,True
4,0.7673163251445217,2.156938747527039,0.006666666666666667,-0.01690565887838602,-0.01690565887838602,0.001911984884964676,0.0002561795613138489,0.001911984884964676,True
5,1.225191774916624,2.234808908032001,0.006666666666666667,-0.027968186885118484,-0.027968186885118484,0.003163127346198527,0.00042381536710942594,0.003163127346198527,True
6,1.0271336573298102,2.2725531801493224,0.006666666666666667,-0.02384299784898758,-0.02384299784898758,0.0026965795409827275,0.00036130440637328464,0.0026965795409827275,True
7,1.2804830726260452,2.256810054394336,0.006666666666666667,-0.029518119990825653,-0.029518119990825653,0.0033384206667448494,0.0004473022504587336,0.0033384206667448494,True
8,0.9768940892415994,2.181862644638075,0.006666666666666667,-0.02177182026207447,-0.02177182026207447,0.002462334767240015,0.0003299188426853277,0.002462334767240015,True
9,0.48585275976272313,2.2656279507667563,0.006666666666666667,-0.011243799701333046,-0.011243799701333046,0.0012716437195285258,0.00017038269119075565,0.0012716437195285258,True
10,1.3114139496167858,2.2732722441881275,0.006666666666666667,-0.030451668426394463,-0.030451668426394463,0.00344400250013868,0.0004614487575646426,0.00344400250013868,True
11,0.6284844500040414,2.220294025262373,0.006666666666666667,-0.01425360981374979,-0.01425360981374979,0.0016120452768315682,0.00021599179736423647,0.0016120452768315682,True
12,1.1603570018928397,2.2816050417066864,0.006666666666666667,-0.027042817324399948,-0.027042817324399948,0.0030584705229641687,0.00040979279858625785,0.0030584705229641687,True
13,0.9545864230831725,2.1622605594697277,0.006666666666666667,-0.02108351979404688,-0.02108351979404688,0.002384489838707772,0.0003194886976571329,0.002384489838707772,True
14,0.775218164265472,2.204604914174953,0.006666666666666667,-0.017457198351621628,-0.017457198351621628,0.001974362563326707,0.00026453730849282657,0.001974362563326707,True
15,0.5648435296721184,2.2162723846765657,0.006666666666666667,-0.01278707291930914,-0.01278707291930914,0.0014461838397754286,0.00019376865610508818,0.0014461838397754286,True
16,0.9219871333659585,2.1750302095190355,0.006666666666666667,-0.020483775064349174,-0.020483775064349174,0.0023166603654878257,0.0003104004852814601,0.0023166603654878257,True
17,1.1739838288607685,2.1539621011015755,0.006666666666666667,-0.025829738937318325,-0.025829738937318325,0.002921274636566998,0.0003914104451128196,0.002921274636566998,True
18,0.9033882863020385,2.215750919763727,0.006666666666666667,-0.020446323789656162,-0.020446323789656162,0.002312424639572856,0.0003098329565236359,0.002312424639572856,True
19,1.2170757380360033,2.3006467867576523,0.006666666666666667,-0.028601407073438168,-0.028601407073438168,0.0032347429727371266,0.00043341087172567397,0.0032347429727371266,True
20,1.4893195505049621,2.200588085157659,0.006666666666666667,-0.033476997166872025,-0.033476997166872025,0.0037861591356735526,0.000507293019975517,0.0037861591356735526,True
21,0.953668662416538,2.1080607129468705,0.006666666666666667,-0.020535272546112537,-0.020535272546112537,0.0023224845535430136,0.0003111808460221335,0.0023224845535430136,True
22,0.5122394283435137,2.1288046135784007,0.006666666666666667,-0.011138550005853176,-0.011138550005853176,0.0012597403293876605,0.0001687878013522354,0.0012597403293876605,True
23,0.7492940527845189,2.307809123099747,0.006666666666666667,-0.017663306556642056,-0.017663306556642056,0.0019976728193454073,0.00026766056077789604,0.0019976728193454073,True
