time_utc,SAT-1_x_m,SAT-1_y_m,SAT-1_z_m,SAT-2_x_m,SAT-2_y_m,SAT-2_z_m,SAT-3_x_m,SAT-3_y_m,SAT-3_z_m
2026-03-21T07:38:40Z,5837268.17517265,-1400978.17518378,3480897.17686339,5834157.85028627,-1401186.3141181,3486023.85380108,5834909.85227787,-1406143.32411516,3482767.88971962
2026-03-21T07:38:41Z,5833339.14408878,-1401241.06176595,3487371.83801776,5830223.31297602,-1401447.87825219,3492495.22331908,5830977.98083561,-1406406.09185883,3489240.83107763
2026-03-21T07:38:42Z,5829403.15194516,-1401502.27621446,3493842.34902453,5826281.81828845,-1401707.76999722,3498962.43657101,5827039.15113816,-1406667.18130213,3495709.62005611
2026-03-21T07:38:43Z,5825460.20339383,-1401761.81820682,3500308.7021567,5822333.37088213,-1401965.98903228,3505425.48583374,5823093.36784096,-1406926.5921227,3502174.24893006
2026-03-21T07:38:44Z,5821510.30309523,-1402019.68742252,3506770.88969194,5818377.9754242,-1402222.53503841,3511884.36338858,5819140.63560793,-1407184.32400013,3508634.70997907
2026-03-21T07:38:45Z,5817553.45571815,-1402275.88354302,3513228.90391265,5814415.63658981,-1402477.40769866,3518339.06152213,5815180.95911113,-1407440.37661602,3515090.99548772
2026-03-21T07:38:46Z,5813589.66593951,-1402530.40625178,3519682.73710637,5810446.35906259,-1402730.60669804,3524789.57252552,5811214.34303095,-1407694.74965395,3521543.0977455
2026-03-21T07:38:47Z,5809618.93844454,-1402783.25523425,3526132.38156546,5806470.14753438,-1402982.13172357,3531235.88869488,5807240.79205607,-1407947.44279949,3527991.00904666
2026-03-21T07:38:48Z,5805641.27792691,-1403034.43017782,3532577.82958686,5802487.00670539,-1403231.98246421,3537678.00233105,5803260.31088352,-1408198.45574018,3534434.72169024
2026-03-21T07:38:49Z,5801656.68908843,-1403283.93077189,3539019.07347263,5798496.94128395,-1403480.15861095,3544115.90574004,5799272.9042185,-1408447.78816558,3540874.2279803
2026-03-21T07:38:50Z,5797665.17663933,-1403531.75670785,3545456.10552949,5794499.95598684,-1403726.6598567,3550549.5912324,5795278.57677461,-1408695.43976722,3547309.52022562
2026-03-21T07:38:51Z,5793666.74529804,-1403777.90767903,3551888.91806912,5790496.05553911,-1403971.48589641,3556979.0511236,5791277.33327361,-1408941.41023863,3553740.59074001
2026-03-21T07:38:52Z,5789661.39979124,-1404022.38338079,3558317.50340816,5786485.24467385,-1404214.63642698,3563404.27773437,5787269.17844553,-1409185.69927532,3560167.43184217
2026-03-21T07:38:53Z,5785649.14485399,-1404265.18351045,3564741.85386796,5782467.52813258,-1404456.11114732,3569825.26339008,5783254.1170288,-1409428.30657479,3566590.03585548
2026-03-21T07:38:54Z,5781629.98522932,-1404506.30776733,3571161.96177521,5778442.91066513,-1404695.9097583,3576242.0004209,5779232.15377001,-1409669.23183654,3573008.3951084
2026-03-21T07:38:55Z,5777603.92566878,-1404745.75585272,3577577.81946114,5774411.39702948,-1404934.03196278,3582654.48116213,5775203.29342392,-1409908.47476205,3579422.50193441
