window_index,start,end,duration_s
0,2026-03-14T07:45:10Z,2026-03-14T07:50:10Z,300.0
1,2026-03-14T09:20:10Z,2026-03-14T09:20:10Z,0.0
2,2026-03-14T19:20:10Z,2026-03-14T19:25:10Z,300.0
3,2026-03-14T20:55:10Z,2026-03-14T21:00:10Z,300.0
4,2026-03-15T07:30:10Z,2026-03-15T07:35:10Z,300.0
5,2026-03-15T09:05:10Z,2026-03-15T09:05:10Z,0.0
6,2026-03-15T19:05:10Z,2026-03-15T19:10:10Z,300.0
7,2026-03-15T20:40:10Z,2026-03-15T20:45:10Z,300.0
8,2026-03-16T07:15:10Z,2026-03-16T07:20:10Z,300.0
9,2026-03-16T08:50:10Z,2026-03-16T08:50:10Z,0.0
10,2026-03-16T18:55:10Z,2026-03-16T18:55:10Z,0.0
11,2026-03-16T20:25:10Z,2026-03-16T20:30:10Z,300.0
12,2026-03-17T07:00:10Z,2026-03-17T07:05:10Z,300.0
13,2026-03-17T08:35:10Z,2026-03-17T08:40:10Z,300.0
14,2026-03-17T20:10:10Z,2026-03-17T20:15:10Z,300.0
15,2026-03-18T06:45:10Z,2026-03-18T06:50:10Z,300.0
16,2026-03-18T08:20:10Z,2026-03-18T08:25:10Z,300.0
17,2026-03-18T19:55:10Z,2026-03-18T20:00:10Z,300.0
18,2026-03-18T21:30:10Z,2026-03-18T21:30:10Z,0.0
19,2026-03-19T06:30:10Z,2026-03-19T06:35:10Z,300.0
20,2026-03-19T08:05:10Z,2026-03-19T08:10:10Z,300.0
21,2026-03-19T19:40:10Z,2026-03-19T19:45:10Z,300.0
22,2026-03-19T21:15:10Z,2026-03-19T21:20:10Z,300.0
23,2026-03-20T06:20:10Z,2026-03-20T06:20:10Z,0.0
24,2026-03-20T07:50:10Z,2026-03-20T07:55:10Z,300.0
25,2026-03-20T19:30:10Z,2026-03-20T19:30:10Z,0.0
26,2026-03-20T21:00:10Z,2026-03-20T21:05:10Z,300.0
27,2026-03-21T06:05:10Z,2026-03-21T06:05:10Z,0.0
28,2026-03-21T07:35:10Z,2026-03-21T07:40:10Z,300.0
29,2026-03-21T19:15:10Z,2026-03-21T19:20:10Z,300.0
30,2026-03-21T20:50:10Z,2026-03-21T20:50:10Z,0.0
31,2026-03-22T05:50:10Z,2026-03-22T05:50:10Z,0.0
32,2026-03-22T07:20:10Z,2026-03-22T07:25:10Z,300.0
33,2026-03-22T19:00:10Z,2026-03-22T19:05:10Z,300.0
34,2026-03-22T20:35:10Z,2026-03-22T20:35:10Z,0.0
35,2026-03-23T07:05:10Z,2026-03-23T07:10:10Z,300.0
36,2026-03-23T08:45:10Z,2026-03-23T08:45:10Z,0.0
37,2026-03-23T18:45:10Z,2026-03-23T18:50:10Z,300.0
38,2026-03-23T20:20:10Z,2026-03-23T20:25:10Z,300.0
39,2026-03-24T06:50:10Z,2026-03-24T07:00:10Z,600.0
40,2026-03-24T08:30:10Z,2026-03-24T08:30:10Z,0.0
41,2026-03-24T18:30:10Z,2026-03-24T18:35:10Z,300.0
42,2026-03-24T20:05:10Z,2026-03-24T20:10:10Z,300.0
43,2026-03-25T06:40:10Z,2026-03-25T06:45:10Z,300.0
44,2026-03-25T08:15:10Z,2026-03-25T08:15:10Z,0.0
45,2026-03-25T19:50:10Z,2026-03-25T19:55:10Z,300.0
46,2026-03-26T06:25:10Z,2026-03-26T06:30:10Z,300.0
47,2026-03-26T08:00:10Z,2026-03-26T08:00:10Z,0.0
48,2026-03-26T19:35:10Z,2026-03-26T19:40:10Z,300.0
49,2026-03-26T21:10:10Z,2026-03-26T21:10:10Z,0.0
50,2026-03-27T06:10:10Z,2026-03-27T06:15:10Z,300.0
51,2026-03-27T07:45:10Z,2026-03-27T07:50:10Z,300.0
52,2026-03-27T19:20:10Z,2026-03-27T19:25:10Z,300.0
53,2026-03-27T20:55:10Z,2026-03-27T20:55:10Z,0.0
54,2026-03-28T05:55:10Z,2026-03-28T06:00:10Z,300.0
55,2026-03-28T07:30:10Z,2026-03-28T07:35:10Z,300.0
